"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","150","145","42490","38020"
"In post","2022","Asian","Analysis","Finance","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","50","50","38020","36690"
"In post","2022","Asian","Analysis","Operational Research","40","40","43220","38110"
"In post","2022","Asian","Analysis","Other","45","45","48610","41810"
"In post","2022","Asian","Analysis","Policy","55","55","45420","40650"
"In post","2022","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","15","10","[c]","[c]"
"In post","2022","Asian","Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","45","45","41330","38340"
"In post","2022","Asian","Analysis","Statistics","165","160","43280","40290"
"In post","2022","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","180","180","39110","36780"
"In post","2022","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Operational Delivery","45","45","46830","39420"
"In post","2022","Asian","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Tax","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","35","35","54610","51400"
"In post","2022","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Communications","140","140","40440","37930"
"In post","2022","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Operational Delivery","220","220","30000","26820"
"In post","2022","Asian","Communications","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Tax","295","290","28750","26820"
"In post","2022","Asian","Communications","Unknown","45","45","39100","33080"
"In post","2022","Asian","Counter Fraud","Counter Fraud","600","545","28200","27570"
"In post","2022","Asian","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Legal","180","175","33470","33080"
"In post","2022","Asian","Counter Fraud","Operational Delivery","295","270","29530","26820"
"In post","2022","Asian","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Other","35","30","38550","33440"
