"Status","Year","Age","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","10","10","25520","24370"
"In post","2022","16-19","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","25","25","20880","19380"
"In post","2022","16-19","Economics","London","15","15","25570","24650"
"In post","2022","16-19","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","30","25","20520","19610"
"In post","2022","16-19","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","15","15","21440","21170"
"In post","2022","16-19","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","45","40","24900","24080"
"In post","2022","16-19","Operational Delivery","Outside London","615","585","21800","21260"
"In post","2022","16-19","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","10","10","25560","25630"
"In post","2022","16-19","Other","Outside London","60","60","20850","21260"
"In post","2022","16-19","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Policy","London","20","20","25700","25170"
"In post","2022","16-19","Policy","Outside London","20","20","23560","24830"
"In post","2022","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","10","10","19240","19460"
"In post","2022","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","30","30","22050","22010"
"In post","2022","16-19","Science and Engineering","Outside London","115","115","18450","17450"
"In post","2022","16-19","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","65","60","21680","21250"
"In post","2022","16-19","Unknown","London","20","20","26100","25330"
"In post","2022","16-19","Unknown","Outside London","80","80","22280","21250"
"In post","2022","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
