"Status","Year","Function_of_post","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Heterosexual / straight","150","140","70440","65470"
"In post","2022","Analysis","Chancellor's other departments","London","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Heterosexual / straight","100","95","62330","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","210","205","44510","37890"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","85","80","37680","36240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","20","20","[c]","[c]"
