"Status","Year","Age","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AA/AO","35","35","21600","22200"
"In post","2022","16-19","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","15","15","25660","25520"
"In post","2022","16-19","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","15","15","19800","21130"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","10","10","26730","27680"
"In post","2022","16-19","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","25","25","21380","21300"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA/AO","85","70","19340","18310"
"In post","2022","16-19","Department for Transport","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","115","110","21610","21260"
"In post","2022","16-19","Department for Work and Pensions","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","15","10","21330","22350"
"In post","2022","16-19","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","25","25","19270","19110"
"In post","2022","16-19","HM Land Registry","AA/AO","10","10","21040","20340"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","180","175","21370","21250"
"In post","2022","16-19","HM Revenue and Customs","EO","30","30","26700","26590"
"In post","2022","16-19","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","10","10","24300","24300"
"In post","2022","16-19","Home Office","AA/AO","35","35","22150","21680"
"In post","2022","16-19","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Ministry of Defence","AA/AO","50","50","19500","19810"
"In post","2022","16-19","Ministry of Defence","EO","110","110","18840","18030"
"In post","2022","16-19","Ministry of Defence","Unknown","50","50","18010","17140"
"In post","2022","16-19","Ministry of Justice","AA/AO","190","190","22940","23140"
"In post","2022","16-19","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA/AO","80","75","21620","21050"
"In post","2022","16-19","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","15","15","19510","19860"
"In post","2022","16-19","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","16-19","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA/AO","485","480","22500","22200"
"In post","2022","20-29","Attorney General's Departments","EO","540","535","27030","26950"
"In post","2022","20-29","Attorney General's Departments","G6/G7","180","180","51050","50500"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","270","270","36410","38000"
"In post","2022","20-29","Cabinet Office","AA/AO","160","155","21750","21050"
"In post","2022","20-29","Cabinet Office","EO","475","475","26480","27500"
"In post","2022","20-29","Cabinet Office","G6/G7","490","490","56440","54700"
"In post","2022","20-29","Cabinet Office","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SEO/HEO","2435","2435","31970","32000"
"In post","2022","20-29","Chancellor's other departments","AA/AO","10","10","22930","22240"
"In post","2022","20-29","Chancellor's other departments","EO","15","15","27160","28230"
"In post","2022","20-29","Chancellor's other departments","G6/G7","15","15","56210","57250"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","35","35","37930","36590"
"In post","2022","20-29","Charity Commission","AA/AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","30","30","30310","29160"
