"Status","Year","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Female","615","595","22230","21260"
"In post","2022","16-19","Male","660","640","21390","21250"
"In post","2022","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Female","47065","46165","29560","27570"
"In post","2022","20-29","Male","37500","37250","30000","27570"
"In post","2022","20-29","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Female","59810","55075","34510","30820"
"In post","2022","30-39","Male","51710","51220","35830","32120"
"In post","2022","30-39","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Female","65305","58860","36030","30950"
"In post","2022","40-49","Male","51185","50520","38760","33370"
"In post","2022","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Female","77720","70810","33480","27570"
"In post","2022","50-59","Male","65315","63610","37960","33300"
"In post","2022","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Female","21620","17275","29700","27130"
"In post","2022","60-64","Male","18950","16350","35140","30980"
"In post","2022","65+","Female","5905","4390","28570","25640"
"In post","2022","65+","Male","6675","5300","33530","28550"
"In post","2022","Unknown","Female","15","10","[c]","[c]"
"In post","2022","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","105","[c]","21620","21260"
"Leaver CS","2022","16-19","Male","90","[c]","20140","20370"
"Leaver CS","2022","20-29","Female","5765","[c]","26280","24890"
"Leaver CS","2022","20-29","Male","4925","[c]","26950","25040"
"Leaver CS","2022","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Female","4135","[c]","33150","29170"
"Leaver CS","2022","30-39","Male","3940","[c]","35160","31060"
"Leaver CS","2022","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","3340","[c]","36580","29290"
"Leaver CS","2022","40-49","Male","2575","[c]","39040","31780"
"Leaver CS","2022","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","4455","[c]","35050","27570"
"Leaver CS","2022","50-59","Male","3750","[c]","38230","31820"
"Leaver CS","2022","60-64","Female","3205","[c]","32780","27570"
"Leaver CS","2022","60-64","Male","3045","[c]","39380","34290"
"Leaver CS","2022","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","2400","[c]","27860","25120"
"Leaver CS","2022","65+","Male","2445","[c]","33120","27570"
"Leaver CS","2022","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","4275","[c]","30440","28720"
"Leaver Dept.","2022","20-29","Male","2890","[c]","31150","29250"
"Leaver Dept.","2022","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","3815","[c]","37850","34000"
"Leaver Dept.","2022","30-39","Male","2980","[c]","38160","34020"
"Leaver Dept.","2022","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","3155","[c]","42110","37450"
"Leaver Dept.","2022","40-49","Male","2035","[c]","45110","40480"
"Leaver Dept.","2022","50-59","Female","2180","[c]","43020","35830"
"Leaver Dept.","2022","50-59","Male","1435","[c]","48160","40700"
"Leaver Dept.","2022","60-64","Female","380","[c]","45220","34990"
"Leaver Dept.","2022","60-64","Male","255","[c]","58280","50410"
"Leaver Dept.","2022","65+","Female","120","[c]","43440","32410"
"Leaver Dept.","2022","65+","Male","100","[c]","55690","46230"
"Leaver Dept.","2022","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","5","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Female","505","[c]","22170","21260"
"New entrant CS","2022","16-19","Male","510","[c]","21330","21250"
"New entrant CS","2022","20-29","Female","16290","[c]","26490","25000"
"New entrant CS","2022","20-29","Male","11685","[c]","26910","25860"
"New entrant CS","2022","20-29","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Female","9470","[c]","30570","27570"
"New entrant CS","2022","30-39","Male","7600","[c]","31420","27570"
"New entrant CS","2022","40-49","Female","6735","[c]","32250","27570"
"New entrant CS","2022","40-49","Male","4710","[c]","34990","29000"
"New entrant CS","2022","50-59","Female","5110","[c]","30730","27420"
"New entrant CS","2022","50-59","Male","4180","[c]","34010","28620"
"New entrant CS","2022","60-64","Female","1050","[c]","28610","26310"
"New entrant CS","2022","60-64","Male","975","[c]","32560","28200"
"New entrant CS","2022","65+","Female","255","[c]","30960","27490"
"New entrant CS","2022","65+","Male","320","[c]","32050","28200"
"New entrant CS","2022","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Male","[c]","[c]","[c]","[c]"
