"Status","Year","Function_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","60","55","38880","36300"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Heterosexual / straight","40","35","43790","41370"
"In post","2022","Analysis","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Blackpool","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Heterosexual / straight","105","95","40430","39260"
"In post","2022","Analysis","Bristol, City of","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","Heterosexual / straight","145","135","72620","68330"
"In post","2022","Analysis","Camden and City of London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","Undeclared","25","20","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","Unknown","50","50","59410","51980"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Heterosexual / straight","30","30","38520","36340"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Heterosexual / straight","100","95","39410","38070"
