"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Analysis","AA/AO","AO","255","245","21880","21410"
"In post","2022","Analysis","EO","EO","870","835","26830","26440"
"In post","2022","Analysis","G6/G7","G6","690","650","71850","67650"
"In post","2022","Analysis","G6/G7","G7","2130","2035","54820","54110"
"In post","2022","Analysis","SCS level","SCS level","190","180","89270","81110"
"In post","2022","Analysis","SEO/HEO","HEO","2480","2425","33180","32960"
"In post","2022","Analysis","SEO/HEO","SEO","1840","1765","40420","39850"
"In post","2022","Commercial","AA/AO","AA","35","30","22490","21640"
"In post","2022","Commercial","AA/AO","AO","255","240","22590","21840"
"In post","2022","Commercial","EO","EO","760","730","26660","26460"
"In post","2022","Commercial","G6/G7","G6","680","675","72390","68640"
"In post","2022","Commercial","G6/G7","G7","1565","1535","56810","54700"
"In post","2022","Commercial","SCS level","SCS level","335","325","110740","104630"
"In post","2022","Commercial","SEO/HEO","HEO","1170","1135","32790","33000"
"In post","2022","Commercial","SEO/HEO","SEO","1650","1605","40520","40580"
"In post","2022","Commercial","Unknown","Unknown","165","165","40030","37400"
"In post","2022","Communications","AA/AO","AA","30","25","20760","21250"
"In post","2022","Communications","AA/AO","AO","465","425","21880","21250"
"In post","2022","Communications","EO","EO","3240","3135","26940","26820"
"In post","2022","Communications","G6/G7","G6","365","355","67440","66230"
"In post","2022","Communications","G6/G7","G7","840","810","54810","54700"
"In post","2022","Communications","SCS level","SCS level","135","135","92210","85000"
"In post","2022","Communications","SEO/HEO","HEO","2150","2095","33690","33370"
"In post","2022","Communications","SEO/HEO","SEO","1310","1275","41270","40560"
"In post","2022","Communications","Unknown","Unknown","15","15","36710","31420"
"In post","2022","Counter Fraud","AA/AO","AA","20","20","21440","21760"
"In post","2022","Counter Fraud","AA/AO","AO","2740","2375","22340","21260"
"In post","2022","Counter Fraud","EO","EO","7195","6605","28150","27570"
"In post","2022","Counter Fraud","G6/G7","G6","315","305","69370","67910"
"In post","2022","Counter Fraud","G6/G7","G7","1000","960","56430","55210"
"In post","2022","Counter Fraud","SCS level","SCS level","50","45","84100","79930"
"In post","2022","Counter Fraud","SEO/HEO","HEO","4040","3845","34360","33370"
"In post","2022","Counter Fraud","SEO/HEO","SEO","1665","1600","41110","40520"
"In post","2022","Debt","AA/AO","AA","40","30","20430","20480"
"In post","2022","Debt","AA/AO","AO","5145","4525","21650","21260"
"In post","2022","Debt","EO","EO","1215","1100","27810","27570"
"In post","2022","Debt","G6/G7","G6","15","15","76040","67910"
"In post","2022","Debt","G6/G7","G7","40","40","56150","55210"
"In post","2022","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","HEO","270","245","33490","33370"
"In post","2022","Debt","SEO/HEO","SEO","95","90","40300","40520"
"In post","2022","Digital, Data & Technology","AA/AO","AA","95","90","19600","19380"
"In post","2022","Digital, Data & Technology","AA/AO","AO","855","825","22130","21380"
"In post","2022","Digital, Data & Technology","EO","EO","3795","3630","27620","27130"
"In post","2022","Digital, Data & Technology","G6/G7","G6","1380","1355","67750","66610"
"In post","2022","Digital, Data & Technology","G6/G7","G7","4620","4520","54760","54540"
"In post","2022","Digital, Data & Technology","SCS level","SCS level","330","330","92360","85820"
"In post","2022","Digital, Data & Technology","SEO/HEO","HEO","5355","5195","33650","33300"
"In post","2022","Digital, Data & Technology","SEO/HEO","SEO","5555","5410","41060","40520"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","75","70","34230","32300"
"In post","2022","Finance","AA/AO","AA","90","65","20710","21250"
"In post","2022","Finance","AA/AO","AO","1635","1395","21830","21260"
"In post","2022","Finance","EO","EO","2100","1990","26870","26820"
"In post","2022","Finance","G6/G7","G6","795","775","67420","67090"
"In post","2022","Finance","G6/G7","G7","1975","1925","54700","54160"
"In post","2022","Finance","SCS level","SCS level","305","300","87380","80160"
"In post","2022","Finance","SEO/HEO","HEO","2655","2550","33450","33120"
"In post","2022","Finance","SEO/HEO","SEO","2775","2680","40840","40520"
"In post","2022","Finance","Unknown","Unknown","55","55","50720","44130"
"In post","2022","Grants Management","AA/AO","AO","1285","1170","21280","21300"
"In post","2022","Grants Management","EO","EO","605","555","25440","25190"
