"Status","Year","Disability","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA/AO","Female","Heterosexual / straight","6905","5805","21990","21260"
"In post","2022","Declared disabled","AA/AO","Female","LGBO","655","615","22690","21260"
"In post","2022","Declared disabled","AA/AO","Female","Undeclared","1060","860","21860","21260"
"In post","2022","Declared disabled","AA/AO","Female","Unknown","805","635","22030","21260"
"In post","2022","Declared disabled","AA/AO","Male","Heterosexual / straight","4540","4245","23050","21260"
"In post","2022","Declared disabled","AA/AO","Male","LGBO","560","530","22970","21260"
"In post","2022","Declared disabled","AA/AO","Male","Undeclared","665","615","22930","21260"
"In post","2022","Declared disabled","AA/AO","Male","Unknown","545","500","23140","21380"
"In post","2022","Declared disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Female","Heterosexual / straight","7745","6845","27790","27570"
"In post","2022","Declared disabled","EO","Female","LGBO","700","665","27700","27570"
"In post","2022","Declared disabled","EO","Female","Undeclared","990","865","27900","27570"
"In post","2022","Declared disabled","EO","Female","Unknown","730","625","28300","27570"
"In post","2022","Declared disabled","EO","Male","Heterosexual / straight","4340","4120","28150","27570"
"In post","2022","Declared disabled","EO","Male","LGBO","635","615","27900","27570"
"In post","2022","Declared disabled","EO","Male","Undeclared","690","645","28150","27570"
"In post","2022","Declared disabled","EO","Male","Unknown","440","405","29560","27570"
"In post","2022","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6/G7","Female","Heterosexual / straight","2290","2180","58140","55610"
