"Status","Year","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","470","450","34250","30220"
"In post","2022","Analysis","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","25","25","37180","36240"
"In post","2022","Analysis","Competition and Markets Authority","London","130","125","62170","56360"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","510","485","41100","38110"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","235","230","43170","37250"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","15","15","36050","30360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","15","15","42420","38020"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","65","65","49200","46030"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","135","130","42360","41990"
"In post","2022","Analysis","Department for International Trade","London","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","25","25","37650","30320"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","25","20","42220","40080"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","375","355","40850","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","310","300","52320","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","95","90","46410","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","60","55","29490","26740"
"In post","2022","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","20","20","38130","40350"
"In post","2022","Analysis","Food Standards Agency","Outside London","25","25","41260","38110"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","175","160","69590","65470"
"In post","2022","Analysis","Government Actuary's Department","Outside London","10","10","73790","69690"
"In post","2022","Analysis","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Outside London","45","40","43810","39390"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","35","35","48450","44480"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","25","25","36380","36050"
"In post","2022","Analysis","HM Land Registry","London","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Outside London","15","15","40410","38550"
"In post","2022","Analysis","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","380","370","50020","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","360","345","41740","40180"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","10","10","57710","60440"
"In post","2022","Analysis","Intellectual Property Office","Outside London","35","35","34960","30770"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","40","40","48830","47060"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","100","100","45330","45030"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","195","190","35400","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","425","410","48510","43740"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","70","70","37780","36050"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","London","20","20","50940","48770"
"In post","2022","Analysis","National Savings and Investments","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","London","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","London","25","25","46900","42850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","105","100","38940","32010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","London","120","115","46210","39080"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Outside London","60","60","39570","35000"
"In post","2022","Analysis","Office of Rail and Road","London","25","25","56150","55430"
"In post","2022","Analysis","Office of Rail and Road","Outside London","20","20","46710","44910"
"In post","2022","Analysis","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Outside London","25","25","39230","37710"
"In post","2022","Analysis","Rural Payments Agency","Outside London","45","45","30370","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","London","10","10","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Outside London","30","30","40670","41290"
"In post","2022","Analysis","UK Debt Management Office","London","20","20","68210","59590"
"In post","2022","Analysis","UK Export Finance","London","30","30","49920","44750"
"In post","2022","Analysis","UK Space Agency","London","15","15","50360","53380"
"In post","2022","Analysis","UK Space Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","London","210","210","43700","39840"
