"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Devon","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","HEO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","EO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G6","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","HEO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","HEO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","AO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","AO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","EO","Female","40","35","25250","25010"
"In post","2022","Analysis","East Anglia","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","G6","Male","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","East Anglia","G7","Male","35","35","49610","48080"
"In post","2022","Analysis","East Anglia","HEO","Female","45","45","29880","29750"
