"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","40","40","33160","30950"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Operational Delivery","45","45","26000","24920"
"In post","2022","Asian","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Science and Engineering","30","30","31100","29270"
"In post","2022","Asian","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","510","500","45510","40600"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","50","45","47810","35270"
"In post","2022","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Legal","30","30","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Operational Delivery","30","25","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Legal","350","320","52870","53050"
"In post","2022","Asian","Crown Prosecution Service","Operational Delivery","290","265","26160","24590"
"In post","2022","Asian","Crown Prosecution Service","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Policy","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Commercial","20","20","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Finance","25","25","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Other","90","85","26840","22160"
"In post","2022","Asian","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Project Delivery","75","75","36650","33800"
"In post","2022","Asian","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Science and Engineering","115","115","36230","33120"
"In post","2022","Asian","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Operational Research","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Science and Engineering","40","40","42930","38510"
"In post","2022","Asian","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","30","30","42330","37290"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","30","30","43810","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","60","60","41710","39700"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","440","435","44280","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Commercial","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Other","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Policy","75","75","44330","39400"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Communications","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Digital, Data and Technology","90","90","38830","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Finance","75","75","36710","33740"
"In post","2022","Asian","Department for Education (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Operational Delivery","65","65","38880","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Policy","225","220","42560","40230"
"In post","2022","Asian","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Property","55","55","47250","50400"
"In post","2022","Asian","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","40","40","36470","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","5","5","[c]","[c]"
