"Status","Year","Organisation","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","Female","65","55","31100","30040"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","Outside London","Male","40","40","35150","30040"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","Female","70","65","28910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","Male","35","35","28710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","Female","50","45","29460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","Female","80","75","29940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","Male","50","50","30390","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","London","Female","105","95","41120","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","London","Male","85","85","44560","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Outside London","Female","[c]","[c]","[c]","[c]"
