"Status","Year","Age","Ethnicity","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","North West (England)","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
