"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","315","295","38360","33310"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","155","140","40100","48080"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire","20","15","46930","55610"
"In post","2022","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","180","165","43580","40000"
"In post","2022","Attorney General's Departments","East of England","East Anglia","125","115","37280","28430"
"In post","2022","Attorney General's Departments","East of England","Essex","205","190","42230","40000"
"In post","2022","Attorney General's Departments","London","Inner London - East","25","25","35170","24590"
"In post","2022","Attorney General's Departments","London","Inner London - West","4665","4390","50280","51250"
"In post","2022","Attorney General's Departments","London","Outer London - East and North East","25","25","35590","24590"
"In post","2022","Attorney General's Departments","London","Outer London - South","65","60","36770","31180"
"In post","2022","Attorney General's Departments","London","Outer London - West and North West","25","25","37960","24590"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","260","240","39310","34480"
"In post","2022","Attorney General's Departments","North East (England)","Tees Valley and Durham","100","85","39070","32370"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire","30","25","49490","54790"
"In post","2022","Attorney General's Departments","North West (England)","Cumbria","40","35","38360","32880"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester","380","350","40560","38000"
"In post","2022","Attorney General's Departments","North West (England)","Lancashire","180","170","40070","38000"
"In post","2022","Attorney General's Departments","North West (England)","Merseyside","385","365","37370","30130"
"In post","2022","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","130","120","42750","39750"
"In post","2022","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","270","250","43170","39750"
"In post","2022","Attorney General's Departments","South East (England)","Kent","140","130","39790","30110"
"In post","2022","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","200","185","43390","40000"
"In post","2022","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","30","30","38220","33270"
"In post","2022","Attorney General's Departments","South West (England)","Devon","105","100","39890","38000"
"In post","2022","Attorney General's Departments","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","225","210","43930","48080"
"In post","2022","Attorney General's Departments","Wales","East Wales","310","285","40460","38180"
"In post","2022","Attorney General's Departments","Wales","West Wales and The Valleys","85","80","42230","48080"
"In post","2022","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","47860","51470"
"In post","2022","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","70","70","43190","48080"
"In post","2022","Attorney General's Departments","West Midlands (England)","West Midlands","505","475","40380","38000"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","80","70","39880","38540"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","175","165","42140","38180"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","140","130","35580","28430"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","540","505","42130","43920"
"In post","2022","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","60","60","52960","51560"
"In post","2022","Cabinet Office","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2022","Cabinet Office","East of England","East Anglia","250","240","43270","38980"
"In post","2022","Cabinet Office","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","Inner London - East","1100","1080","52590","54700"
"In post","2022","Cabinet Office","London","Inner London - West","5475","5410","49680","41480"
"In post","2022","Cabinet Office","London","Outer London - South","25","25","62450","65000"
"In post","2022","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","North East (England)","Northumberland, and Tyne and Wear","465","435","29540","25550"
"In post","2022","Cabinet Office","North East (England)","Tees Valley and Durham","15","15","62840","62010"
"In post","2022","Cabinet Office","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2022","Cabinet Office","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2022","Cabinet Office","North West (England)","Greater Manchester","415","410","45390","38990"
"In post","2022","Cabinet Office","North West (England)","Lancashire","40","40","54750","49700"
"In post","2022","Cabinet Office","North West (England)","Merseyside","485","475","40700","38330"
"In post","2022","Cabinet Office","Northern Ireland","Northern Ireland","10","10","31770","32000"
"In post","2022","Cabinet Office","Scotland","Eastern Scotland","30","30","35080","32000"
"In post","2022","Cabinet Office","Scotland","Southern Scotland","10","10","71650","68000"
"In post","2022","Cabinet Office","Scotland","West Central Scotland","255","250","42670","33720"
"In post","2022","Cabinet Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","140","135","38160","33300"
"In post","2022","Cabinet Office","South East (England)","Hampshire and Isle of Wight","90","90","55600","52510"
"In post","2022","Cabinet Office","South East (England)","Kent","5","5","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Devon","10","10","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Dorset and Somerset","10","10","37040","33630"
"In post","2022","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","265","260","55000","50000"
"In post","2022","Cabinet Office","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office","Wales","East Wales","200","195","38220","32440"
"In post","2022","Cabinet Office","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","West Midlands (England)","Shropshire and Staffordshire","25","25","68760","65000"
"In post","2022","Cabinet Office","West Midlands (England)","West Midlands","230","225","50880","39080"
"In post","2022","Cabinet Office","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","North Yorkshire","560","535","32970","32000"
"In post","2022","Cabinet Office","Yorkshire and The Humber","South Yorkshire","85","80","50370","49700"
"In post","2022","Cabinet Office","Yorkshire and The Humber","West Yorkshire","280","270","47680","44850"
"In post","2022","Chancellor's other departments","London","Inner London - West","360","340","60480","53090"
