"Status","Year","Age","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Female","20","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","Male","30","30","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Female","345","335","22340","21260"
"In post","2022","16-19","Declared non-disabled","Male","325","315","21620","21260"
"In post","2022","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Female","245","235","22190","21250"
"In post","2022","16-19","Unknown","Male","300","285","21120","21250"
"In post","2022","20-29","Declared disabled","Female","3510","3430","29550","27570"
"In post","2022","20-29","Declared disabled","Male","2275","2250","29600","27570"
"In post","2022","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Female","28320","27775","29560","27570"
"In post","2022","20-29","Declared non-disabled","Male","22065","21935","30080","27570"
"In post","2022","20-29","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Female","1205","1180","30160","27610"
"In post","2022","20-29","Undeclared","Male","1235","1225","31290","28780"
"In post","2022","20-29","Unknown","Female","14035","13780","29510","27570"
"In post","2022","20-29","Unknown","Male","11930","11840","29790","27570"
"In post","2022","20-29","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Female","5180","4790","33250","29500"
"In post","2022","30-39","Declared disabled","Male","3730","3675","34120","30450"
"In post","2022","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Female","39985","36635","34500","30820"
"In post","2022","30-39","Declared non-disabled","Male","33405","33110","35970","32080"
"In post","2022","30-39","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Female","2560","2350","33730","30320"
"In post","2022","30-39","Undeclared","Male","2605","2580","35600","32040"
"In post","2022","30-39","Unknown","Female","12090","11300","35260","31540"
"In post","2022","30-39","Unknown","Male","11965","11855","36010","33080"
"In post","2022","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","Female","7685","6900","33180","28130"
"In post","2022","40-49","Declared disabled","Male","4785","4680","34720","30660"
"In post","2022","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Female","44990","40405","36160","30980"
"In post","2022","40-49","Declared non-disabled","Male","34275","33880","39150","33370"
"In post","2022","40-49","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
