"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA/AO","430","400","23460","23770"
"In post","2022","Attorney General's Departments","London","EO","780","745","28480","27700"
"In post","2022","Attorney General's Departments","London","G6/G7","2650","2460","60150","61000"
"In post","2022","Attorney General's Departments","London","SCS level","260","245","86700","80940"
"In post","2022","Attorney General's Departments","London","SEO/HEO","690","670","37190","37730"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","1100","1005","22430","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","1095","1015","27360","27440"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","2375","2190","55960","55610"
"In post","2022","Attorney General's Departments","Outside London","SCS level","55","55","89590","83640"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","770","745","35480","34480"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","AA/AO","115","110","24240","24490"
"In post","2022","Cabinet Office","London","EO","545","535","27710","27500"
"In post","2022","Cabinet Office","London","G6/G7","2700","2655","60250","56860"
"In post","2022","Cabinet Office","London","SCS level","605","590","99560","93000"
"In post","2022","Cabinet Office","London","SEO/HEO","2640","2620","34380","34550"
"In post","2022","Cabinet Office","Outside London","AA/AO","380","350","21100","21050"
"In post","2022","Cabinet Office","Outside London","EO","480","455","25310","25520"
"In post","2022","Cabinet Office","Outside London","G6/G7","1220","1200","59490","56520"
"In post","2022","Cabinet Office","Outside London","SCS level","155","155","102650","95180"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","1735","1695","34030","33110"
"In post","2022","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","30","30","26000","26570"
"In post","2022","Cabinet Office","Unknown","G6/G7","85","85","56150","54700"
"In post","2022","Cabinet Office","Unknown","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","345","345","31670","30500"
"In post","2022","Chancellor's other departments","London","AA/AO","20","20","23560","24020"
"In post","2022","Chancellor's other departments","London","EO","30","30","30030","29500"
"In post","2022","Chancellor's other departments","London","G6/G7","175","165","76870","71500"
"In post","2022","Chancellor's other departments","London","SCS level","15","15","117330","110000"
"In post","2022","Chancellor's other departments","London","SEO/HEO","115","110","41000","40060"
"In post","2022","Chancellor's other departments","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","G6/G7","30","30","65430","61020"
"In post","2022","Chancellor's other departments","Outside London","SEO/HEO","30","30","40700","40290"
"In post","2022","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","30","30","54960","51160"
"In post","2022","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO/HEO","40","40","33720","32040"
"In post","2022","Charity Commission","Outside London","AA/AO","30","20","18910","19980"
"In post","2022","Charity Commission","Outside London","EO","110","105","24940","24440"
"In post","2022","Charity Commission","Outside London","G6/G7","35","35","54110","51070"
"In post","2022","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SEO/HEO","205","200","32280","29300"
"In post","2022","Competition and Markets Authority","London","AA/AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","London","EO","65","60","28220","27920"
"In post","2022","Competition and Markets Authority","London","G6/G7","400","385","66020","62980"
"In post","2022","Competition and Markets Authority","London","SCS level","120","115","108020","99920"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","190","185","37530","35560"
"In post","2022","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","45","45","64020","60280"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","15","15","37440","34870"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","AA/AO","140","130","24980","25060"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","EO","405","400","28620","27690"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","G6/G7","2550","2480","58760","56600"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SCS level","325","310","88030","82340"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","2540","2505","38450","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","1355","1240","21230","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","EO","1555","1470","25930","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","1460","1400","55370","55620"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","75","75","88260","78470"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","3640","3465","37340","37400"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","25","25","36330","37420"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AA/AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","160","155","27020","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","835","820","56510","54700"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","115","110","83760","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SEO/HEO","665","655","35680","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","25","25","25360","24950"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","80","80","53290","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","115","110","33920","34020"
"In post","2022","Department for Education","London","AA/AO","30","30","24160","24250"
"In post","2022","Department for Education","London","EO","220","215","29190","28500"
"In post","2022","Department for Education","London","G6/G7","1165","1115","58870","54640"
"In post","2022","Department for Education","London","SCS level","185","175","83650","74490"
"In post","2022","Department for Education","London","SEO/HEO","930","900","38790","40230"
"In post","2022","Department for Education","Outside London","AA/AO","95","90","21230","21250"
"In post","2022","Department for Education","Outside London","EO","710","690","25410","25000"
"In post","2022","Department for Education","Outside London","G6/G7","2085","2020","54240","50630"
"In post","2022","Department for Education","Outside London","SCS level","115","110","81390","74100"
"In post","2022","Department for Education","Outside London","SEO/HEO","3155","3045","34510","36500"
"In post","2022","Department for Education","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","London","AA/AO","85","85","24390","24370"
"In post","2022","Department for Environment, Food and Rural Affairs","London","EO","345","335","28560","28210"
"In post","2022","Department for Environment, Food and Rural Affairs","London","G6/G7","940","905","57190","54650"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SCS level","135","130","83960","77160"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SEO/HEO","1370","1340","36680","35890"
"In post","2022","Department for Environment, Food and Rural Affairs","London","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","2305","2115","21620","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","EO","1945","1830","25710","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","1750","1690","52750","49830"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SCS level","85","85","81880","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","3765","3595","34340","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
