"Status","Year","Age","Disability","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
