"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","AO","25","25","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","AO","20","20","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
