"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","AO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","10","10","25700","25800"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","AO","30","30","21350","20500"
"In post","2022","16-19","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","EO","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA","5","5","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","AO","10","10","22220","22230"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AO","110","110","21620","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA","55","45","18310","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AO","15","15","21840","21840"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AO","10","10","20530","21840"
"In post","2022","16-19","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Unknown","25","25","19270","19110"
"In post","2022","16-19","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AO","15","15","21520","20970"
"In post","2022","16-19","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","AA","55","55","20890","20890"
"In post","2022","16-19","HM Prison and Probation Service","AO","105","105","24580","23140"
"In post","2022","16-19","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AO","180","170","21360","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","20","20","27180","26590"
"In post","2022","16-19","HM Treasury (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AO","35","30","22260","21680"
"In post","2022","16-19","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Intellectual Property Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AA","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AO","10","10","21940","21170"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","AO","10","10","20720","21300"
"In post","2022","16-19","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","AA","25","20","21430","21050"
"In post","2022","16-19","Scottish Government (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","AA","15","15","21110","21050"
"In post","2022","16-19","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Unknown","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","AO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","AA","10","5","21050","22350"
"In post","2022","16-19","UK Health Security Agency","AO","5","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AO","10","10","[c]","[c]"
