"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","Outside London","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","London","15","10","39790","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","40","40","48260","47750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","20","20","39180","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Outside London","10","10","27090","24710"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","London","15","15","39430","36350"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","15","15","37930","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","95","95","40730","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","770","705","30690","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Outside London","10","10","39150","38750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","15","15","31980","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","London","95","90","33300","31690"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","1805","1705","27440","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Outside London","25","25","36190","33790"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","35","35","33810","30730"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","565","540","32040","28270"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","London","10","10","50340","54650"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","320","305","42720","38080"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Communications","London","10","10","45010","38590"
"In post","2022","Attorney General's Office","Attorney General's Departments","Legal","London","15","15","69960","65180"
"In post","2022","Attorney General's Office","Attorney General's Departments","Other","London","10","10","35120","30950"
"In post","2022","Attorney General's Office","Attorney General's Departments","Policy","London","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Outside London","10","10","37300","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","London","15","15","47280","47650"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Policy","London","25","25","54420","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","London","6370","6290","50110","46500"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Outside London","3015","2920","42640","33370"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","Outside London","15","15","42290","42410"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","60","55","31650","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","Outside London","10","10","35390","25460"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","Outside London","15","10","34450","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","25","20","42110","47550"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","Outside London","15","15","34570","29270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","35","35","27510","29270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","465","445","34230","30220"
"In post","2022","Charity Commission","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Communications","London","10","10","50820","51070"
"In post","2022","Charity Commission","Charity Commission","Communications","Outside London","10","10","33760","29160"
"In post","2022","Charity Commission","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Digital, Data and Technology","Outside London","50","50","34430","29160"
"In post","2022","Charity Commission","Charity Commission","Finance","Outside London","10","10","36620","33810"
"In post","2022","Charity Commission","Charity Commission","Human Resources","Outside London","20","15","33830","29220"
"In post","2022","Charity Commission","Charity Commission","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Legal","London","15","15","53530","51160"
"In post","2022","Charity Commission","Charity Commission","Legal","Outside London","10","10","52130","51070"
"In post","2022","Charity Commission","Charity Commission","Operational Delivery","London","45","45","39820","37910"
"In post","2022","Charity Commission","Charity Commission","Operational Delivery","Outside London","245","230","29590","29160"
"In post","2022","Charity Commission","Charity Commission","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Policy","London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Project Delivery","Outside London","15","15","33700","37910"
