"Status","Year","Age","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Outside London","Male","20","15","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Outside London","Female","50","40","19280","18310"
"In post","2022","16-19","Department for Transport","Outside London","Male","40","35","19780","18310"
"In post","2022","16-19","Department for Work and Pensions","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Outside London","Female","75","70","23040","21260"
"In post","2022","16-19","Department for Work and Pensions","Outside London","Male","65","65","22510","21260"
"In post","2022","16-19","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","HM Land Registry","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","Outside London","Female","95","90","21690","21250"
"In post","2022","16-19","HM Revenue and Customs","Outside London","Male","110","105","22050","21250"
"In post","2022","16-19","HM Treasury","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","Female","25","20","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Outside London","Female","35","35","19770","19460"
"In post","2022","16-19","Ministry of Defence","Outside London","Male","135","135","18670","18030"
"In post","2022","16-19","Ministry of Defence","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Outside London","Female","110","110","22650","23140"
"In post","2022","16-19","Ministry of Justice","Outside London","Male","70","70","22760","23140"
"In post","2022","16-19","National Crime Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","Outside London","Female","45","40","22180","21050"
"In post","2022","16-19","Scottish Government","Outside London","Male","45","40","22010","21050"
"In post","2022","16-19","The National Archives","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","London","Female","465","460","32700","27350"
"In post","2022","20-29","Attorney General's Departments","London","Male","245","240","33260","29280"
