"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G7","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","HEO","Male","20","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","Female","30","25","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","AO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","AO","Male","35","35","20820","19860"
"In post","2022","Analysis","Economics","EO","Female","60","60","27110","27680"
"In post","2022","Analysis","Economics","EO","Male","50","50","27050","27340"
"In post","2022","Analysis","Economics","G6","Female","55","50","71740","69700"
"In post","2022","Analysis","Economics","G6","Male","85","85","71680","70750"
"In post","2022","Analysis","Economics","G7","Female","135","125","55050","54110"
"In post","2022","Analysis","Economics","G7","Male","295","290","56200","54760"
"In post","2022","Analysis","Economics","HEO","Female","165","160","34150","33640"
"In post","2022","Analysis","Economics","HEO","Male","335","335","34250","33880"
"In post","2022","Analysis","Economics","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","SCS level","Male","40","35","99940","91050"
"In post","2022","Analysis","Economics","SEO","Female","30","30","40970","40650"
"In post","2022","Analysis","Economics","SEO","Male","50","50","42290","41750"
"In post","2022","Analysis","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G7","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Finance","G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AA","Female","[c]","[c]","[c]","[c]"
