"Status","Year","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","1105","1075","46550","42170"
"In post","2022","Commercial","Outside London","5050","4850","38370","36500"
"In post","2022","Commercial","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","2210","2160","46720","42850"
"In post","2022","Communications","Outside London","1940","1855","37530","35370"
"In post","2022","Communications","Overseas","10","10","43080","40610"
"In post","2022","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","55","55","56580","55570"
"In post","2022","Corporate Finance","Outside London","90","90","44150","42000"
"In post","2022","Counter Fraud","London","1255","1155","34130","31060"
"In post","2022","Counter Fraud","Outside London","5320","4770","28070","27570"
"In post","2022","Counter Fraud","Unknown","10","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","4055","3990","49360","45000"
"In post","2022","Digital, Data and Technology","Outside London","15895","15445","40290","37000"
"In post","2022","Digital, Data and Technology","Overseas","40","40","32510","33170"
"In post","2022","Digital, Data and Technology","Unknown","20","20","43910","40670"
"In post","2022","Economics","London","1645","1610","49120","51500"
"In post","2022","Economics","Outside London","405","395","40500","36050"
"In post","2022","Economics","Overseas","35","35","56860","55620"
"In post","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","2910","2850","48950","44500"
"In post","2022","Finance","Outside London","9305","8890","37810","33370"
"In post","2022","Finance","Overseas","80","80","38690","33300"
"In post","2022","Finance","Unknown","30","30","38020","33730"
"In post","2022","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","485","460","31360","33000"
"In post","2022","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","2750","2665","46410","41950"
"In post","2022","Human Resources","Outside London","6805","6415","35910","32790"
"In post","2022","Human Resources","Overseas","40","40","42940","35610"
"In post","2022","Human Resources","Unknown","20","15","35710","32390"
"In post","2022","Inspector of Education and Training","London","85","85","65050","51360"
"In post","2022","Inspector of Education and Training","Outside London","850","830","65730","70500"
"In post","2022","Intelligence Analysis","London","1245","1190","38940","36140"
"In post","2022","Intelligence Analysis","Outside London","1920","1840","30200","27380"
"In post","2022","Intelligence Analysis","Overseas","75","75","44150","40580"
"In post","2022","Internal Audit","London","220","210","52400","49870"
"In post","2022","Internal Audit","Outside London","555","525","43730","41720"
"In post","2022","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","London","1235","1220","47410","44030"
"In post","2022","International Trade","Outside London","240","235","40720","35370"
"In post","2022","International Trade","Overseas","160","160","55790","53750"
"In post","2022","Knowledge and Information Management","London","760","740","41440","37640"
"In post","2022","Knowledge and Information Management","Outside London","1610","1535","32790","30130"
"In post","2022","Knowledge and Information Management","Overseas","5","5","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2022","Legal","London","4915","4635","55210","53050"
"In post","2022","Legal","Outside London","7755","7230","44840","43710"
"In post","2022","Legal","Overseas","10","10","60240","64330"
"In post","2022","Medicine","London","380","345","75180","69790"
"In post","2022","Medicine","Outside London","2040","1800","52190","39630"
"In post","2022","Medicine","Overseas","60","60","56210","53480"
"In post","2022","Medicine","Unknown","35","30","51150","40000"
"In post","2022","Operational Delivery","London","33800","31955","34760","31060"
"In post","2022","Operational Delivery","Outside London","220345","200635","27750","26750"
"In post","2022","Operational Delivery","Overseas","295","295","46520","45420"
"In post","2022","Operational Delivery","Unknown","555","510","29810","27570"
"In post","2022","Operational Research","London","360","345","50440","48360"
"In post","2022","Operational Research","Outside London","775","740","42500","40690"
"In post","2022","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other","London","4360","4220","40630","31880"
"In post","2022","Other","Outside London","23525","22110","28190","26350"
"In post","2022","Other","Overseas","555","550","48940","46600"
"In post","2022","Other","Unknown","1940","1925","36690","33430"
"In post","2022","Planning","London","90","85","47000","42980"
"In post","2022","Planning","Outside London","135","130","43070","39100"
"In post","2022","Planning Inspectors","London","25","20","57470","58810"
"In post","2022","Planning Inspectors","Outside London","350","315","56210","58810"
"In post","2022","Policy","London","21265","20735","49680","51730"
"In post","2022","Policy","Outside London","9960","9560","41440","37520"
"In post","2022","Policy","Overseas","1695","1690","52460","53470"
"In post","2022","Policy","Unknown","40","40","46660","48680"
"In post","2022","Project Delivery","London","3640","3535","49980","44500"
"In post","2022","Project Delivery","Outside London","12105","11595","41450","40000"
"In post","2022","Project Delivery","Overseas","125","125","50230","51500"
