"Status","Year","Disability","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA","Female","990","835","20490","20480"
"In post","2022","Declared disabled","AA","Male","995","920","20620","20560"
"In post","2022","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AO","Female","8430","7080","22210","21260"
"In post","2022","Declared disabled","AO","Male","5310","4970","23490","21300"
"In post","2022","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Female","10165","8995","27830","27570"
"In post","2022","Declared disabled","EO","Male","6105","5785","28220","27570"
"In post","2022","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6","Female","745","705","68010","66700"
"In post","2022","Declared disabled","G6","Male","630","615","69390","67910"
"In post","2022","Declared disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G7","Female","2215","2110","54740","54190"
"In post","2022","Declared disabled","G7","Male","1795","1750","55610","54850"
"In post","2022","Declared disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HEO","Female","4530","4250","33490","33300"
"In post","2022","Declared disabled","HEO","Male","3480","3360","34190","33370"
"In post","2022","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Female","250","240","85970","78460"
"In post","2022","Declared disabled","SCS level","Male","240","240","91700","82230"
"In post","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO","Female","2895","2745","41260","40520"
"In post","2022","Declared disabled","SEO","Male","2320","2255","42390","41040"
"In post","2022","Declared disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","2650","2460","30650","28200"
"In post","2022","Declared disabled","Unknown","Male","870","830","33130","31420"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA","Female","5330","4600","20440","20890"
"In post","2022","Declared non-disabled","AA","Male","5620","5380","20600","20560"
"In post","2022","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AO","Female","45190","38695","22400","21290"
"In post","2022","Declared non-disabled","AO","Male","30755","29580","24300","21840"
"In post","2022","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Female","50930","45705","27670","27570"
"In post","2022","Declared non-disabled","EO","Male","36305","35080","28020","27570"
"In post","2022","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6","Female","6260","5915","68370","67000"
"In post","2022","Declared non-disabled","G6","Male","6995","6835","69230","67910"
"In post","2022","Declared non-disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G7","Female","16825","15945","54960","54270"
"In post","2022","Declared non-disabled","G7","Male","17625","17290","55630","55000"
"In post","2022","Declared non-disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HEO","Female","28760","27150","33500","33300"
"In post","2022","Declared non-disabled","HEO","Male","25425","24865","34050","33370"
"In post","2022","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS level","Female","2370","2255","87040","80000"
"In post","2022","Declared non-disabled","SCS level","Male","2715","2670","91650","83230"
"In post","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SEO","Female","20315","19265","41500","40520"
"In post","2022","Declared non-disabled","SEO","Male","19930","19515","42350","40800"
"In post","2022","Declared non-disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Female","9420","8705","30560","28200"
"In post","2022","Declared non-disabled","Unknown","Male","3920","3790","34400","31420"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA","Female","650","555","21030","20890"
"In post","2022","Undeclared","AA","Male","885","820","21310","20890"
"In post","2022","Undeclared","AO","Female","3460","2965","23460","21750"
"In post","2022","Undeclared","AO","Male","3800","3545","26910","25700"
