"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","30","30","21990","21510"
"In post","2022","Declared disabled","Analysis","EO","75","75","27260","26820"
"In post","2022","Declared disabled","Analysis","G6","55","50","70620","69710"
"In post","2022","Declared disabled","Analysis","G7","135","125","55420","54980"
"In post","2022","Declared disabled","Analysis","HEO","220","210","33270","33080"
"In post","2022","Declared disabled","Analysis","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO","190","180","40400","39850"
"In post","2022","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","75","70","26850","26670"
"In post","2022","Declared disabled","Commercial","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","60","60","52530","53360"
"In post","2022","Declared disabled","Commercial","HEO","105","105","32820","33300"
"In post","2022","Declared disabled","Commercial","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","140","135","40360","40580"
"In post","2022","Declared disabled","Commercial","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","55","45","21660","21330"
"In post","2022","Declared disabled","Communications","EO","200","190","27220","26820"
"In post","2022","Declared disabled","Communications","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","60","60","53850","54160"
"In post","2022","Declared disabled","Communications","HEO","175","170","33690","33370"
"In post","2022","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","85","80","41570","40710"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AO","415","360","22360","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","890","795","28180","27570"
"In post","2022","Declared disabled","Counter Fraud","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","90","85","55890","55210"
"In post","2022","Declared disabled","Counter Fraud","HEO","405","375","34310","33370"
"In post","2022","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","145","140","41070","40520"
"In post","2022","Declared disabled","Debt","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Debt","AO","625","530","21650","21260"
"In post","2022","Declared disabled","Debt","EO","145","125","27960","27570"
"In post","2022","Declared disabled","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AO","90","90","22210","21460"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","455","430","27530","27230"
"In post","2022","Declared disabled","Digital, Data & Technology","G6","95","95","67700","66660"
"In post","2022","Declared disabled","Digital, Data & Technology","G7","345","335","54430","54540"
"In post","2022","Declared disabled","Digital, Data & Technology","HEO","525","505","33510","33300"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO","440","425","40890","40520"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","170","140","21900","21260"
"In post","2022","Declared disabled","Finance","EO","215","205","27100","26900"
"In post","2022","Declared disabled","Finance","G6","55","55","66520","66370"
"In post","2022","Declared disabled","Finance","G7","160","155","54680","54070"
"In post","2022","Declared disabled","Finance","HEO","270","255","33150","33000"
"In post","2022","Declared disabled","Finance","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","225","210","40480","40300"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","AO","95","85","21280","21300"
"In post","2022","Declared disabled","Grants Management","EO","45","40","25600","25450"
"In post","2022","Declared disabled","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","195","175","21740","21300"
"In post","2022","Declared disabled","Human Resources","EO","360","335","27630","27570"
"In post","2022","Declared disabled","Human Resources","G6","80","75","67700","66250"
"In post","2022","Declared disabled","Human Resources","G7","235","230","53980","54070"
"In post","2022","Declared disabled","Human Resources","HEO","390","375","33480","33300"
"In post","2022","Declared disabled","Human Resources","SCS level","45","40","85350","78300"
"In post","2022","Declared disabled","Human Resources","SEO","285","270","41050","40520"
