"Status","Year","Function_of_post","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Female","60","55","30950","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Male","65","65","36890","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Female","155","140","32090","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Male","170","165","37040","35900"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Wales","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","East Wales","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","Male","80","80","63390","58000"
"In post","2022","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Female","50","50","38020","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Male","70","65","39040","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Female","100","95","39150","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Male","285","270","42740","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","Female","85","85","42050","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","Male","150","145","43820","37820"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","Female","55","50","47070","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","Male","85","85","49470","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands","Female","[c]","[c]","[c]","[c]"
