"Status","Year","Age","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Outside London","Female","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Outside London","Male","85","85","18400","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","Female","70","70","23100","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Outside London","Male","65","65","22510","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Outside London","Female","40","35","19090","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Outside London","Male","30","25","19190","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","FCDO Services","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","London","Female","[c]","[c]","[c]","[c]"
