"Status","Year","Age","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","Female","10","10","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","Female","[c]","[c]","[c]","[c]"
