"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA/AO","Heterosexual / straight","11445","10050","22410","21260"
"In post","2022","Declared disabled","AA/AO","LGBO","1215","1145","22820","21260"
"In post","2022","Declared disabled","AA/AO","Undeclared","1720","1475","22270","21260"
"In post","2022","Declared disabled","AA/AO","Unknown","1350","1130","22480","21260"
"In post","2022","Declared disabled","EO","Heterosexual / straight","12085","10965","27920","27570"
"In post","2022","Declared disabled","EO","LGBO","1335","1280","27800","27570"
"In post","2022","Declared disabled","EO","Undeclared","1680","1505","28000","27570"
"In post","2022","Declared disabled","EO","Unknown","1170","1030","28780","27570"
"In post","2022","Declared disabled","G6/G7","Heterosexual / straight","4000","3850","58610","56170"
"In post","2022","Declared disabled","G6/G7","LGBO","585","575","57880","55260"
"In post","2022","Declared disabled","G6/G7","Undeclared","515","500","59350","57430"
"In post","2022","Declared disabled","G6/G7","Unknown","280","260","58270","56500"
"In post","2022","Declared disabled","SCS level","Heterosexual / straight","375","365","89830","80870"
"In post","2022","Declared disabled","SCS level","LGBO","55","55","85990","77410"
"In post","2022","Declared disabled","SCS level","Undeclared","40","40","84610","81190"
"In post","2022","Declared disabled","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","SEO/HEO","Heterosexual / straight","9885","9415","37040","36000"
"In post","2022","Declared disabled","SEO/HEO","LGBO","1370","1335","36040","34860"
"In post","2022","Declared disabled","SEO/HEO","Undeclared","1300","1245","37130","35980"
"In post","2022","Declared disabled","SEO/HEO","Unknown","665","620","37010","36410"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","2865","2665","31210","28690"
"In post","2022","Declared disabled","Unknown","LGBO","315","305","30100","27980"
"In post","2022","Declared disabled","Unknown","Undeclared","290","275","32610","32600"
"In post","2022","Declared disabled","Unknown","Unknown","50","45","33790","34340"
"In post","2022","Declared non-disabled","AA/AO","Heterosexual / straight","66480","60470","22890","21380"
"In post","2022","Declared non-disabled","AA/AO","LGBO","3560","3420","23150","21300"
"In post","2022","Declared non-disabled","AA/AO","Undeclared","6320","5530","22580","21380"
"In post","2022","Declared non-disabled","AA/AO","Unknown","10540","8835","22540","21260"
"In post","2022","Declared non-disabled","EO","Heterosexual / straight","67575","63005","27770","27570"
"In post","2022","Declared non-disabled","EO","LGBO","3510","3410","27690","27570"
"In post","2022","Declared non-disabled","EO","Undeclared","6355","5795","27970","27570"
"In post","2022","Declared non-disabled","EO","Unknown","9795","8580","28070","27570"
"In post","2022","Declared non-disabled","G6/G7","Heterosexual / straight","38065","36730","59210","57400"
"In post","2022","Declared non-disabled","G6/G7","LGBO","2355","2320","58660","56340"
"In post","2022","Declared non-disabled","G6/G7","Undeclared","3045","2935","59750","57680"
"In post","2022","Declared non-disabled","G6/G7","Unknown","4235","4005","57370","56160"
"In post","2022","Declared non-disabled","SCS level","Heterosexual / straight","4280","4140","89480","82040"
"In post","2022","Declared non-disabled","SCS level","LGBO","280","270","86800","79410"
"In post","2022","Declared non-disabled","SCS level","Undeclared","265","255","88920","81930"
"In post","2022","Declared non-disabled","SCS level","Unknown","265","255","93390","83660"
"In post","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","76530","73640","37250","36340"
"In post","2022","Declared non-disabled","SEO/HEO","LGBO","4195","4130","36700","35740"
"In post","2022","Declared non-disabled","SEO/HEO","Undeclared","6550","6250","37890","37290"
"In post","2022","Declared non-disabled","SEO/HEO","Unknown","7150","6780","36830","36500"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","11690","10955","31610","28880"
"In post","2022","Declared non-disabled","Unknown","LGBO","635","615","29840","26810"
"In post","2022","Declared non-disabled","Unknown","Undeclared","695","640","33950","32710"
"In post","2022","Declared non-disabled","Unknown","Unknown","320","285","33130","34340"
"In post","2022","Undeclared","AA/AO","Heterosexual / straight","4125","3720","23950","21680"
"In post","2022","Undeclared","AA/AO","LGBO","320","305","24100","21300"
"In post","2022","Undeclared","AA/AO","Undeclared","2615","2370","23930","21840"
"In post","2022","Undeclared","AA/AO","Unknown","1735","1490","27000","26560"
"In post","2022","Undeclared","EO","Heterosexual / straight","3240","3035","28360","27570"
"In post","2022","Undeclared","EO","LGBO","300","290","28020","27570"
"In post","2022","Undeclared","EO","Undeclared","2500","2335","28500","27570"
"In post","2022","Undeclared","EO","Unknown","830","760","29940","27570"
"In post","2022","Undeclared","G6/G7","Heterosexual / straight","1225","1190","58980","57110"
"In post","2022","Undeclared","G6/G7","LGBO","135","130","58700","55420"
"In post","2022","Undeclared","G6/G7","Undeclared","1465","1425","59940","57540"
"In post","2022","Undeclared","G6/G7","Unknown","145","140","62110","60040"
"In post","2022","Undeclared","SCS level","Heterosexual / straight","110","110","88250","80250"
"In post","2022","Undeclared","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","SCS level","Undeclared","120","115","84570","80930"
"In post","2022","Undeclared","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Heterosexual / straight","3355","3240","37650","36690"
"In post","2022","Undeclared","SEO/HEO","LGBO","310","305","36690","35310"
"In post","2022","Undeclared","SEO/HEO","Undeclared","3510","3370","37850","37230"
"In post","2022","Undeclared","SEO/HEO","Unknown","515","490","39620","38160"
