"Status","Year","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Female","735","670","42670","43920"
"In post","2022","Asian","Attorney General's Departments","Male","320","310","43460","48080"
"In post","2022","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Female","325","315","43930","40600"
"In post","2022","Asian","Cabinet Office","Male","250","250","47240","42040"
"In post","2022","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Female","30","30","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Male","25","25","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","60","60","43930","36910"
"In post","2022","Asian","Competition and Markets Authority","Male","50","50","55330","56360"
"In post","2022","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Female","525","505","39460","36740"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Male","425","420","40150","38240"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","95","90","44290","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","70","70","43810","38020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Female","510","495","39720","36500"
"In post","2022","Asian","Department for Education","Male","350","350","40360","36780"
"In post","2022","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Female","270","260","35200","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Male","205","205","37140","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Female","130","130","42340","38160"
"In post","2022","Asian","Department for International Trade","Male","140","140","45530","40740"
"In post","2022","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Female","190","185","40650","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Male","130","125","42240","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Female","280","260","37690","34710"
"In post","2022","Asian","Department for Transport","Male","370","365","39580","34710"
"In post","2022","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
