"Status","Year","Age","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Female","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Male","20","20","[c]","[c]"
"In post","2022","16-19","Economics","Female","15","15","[c]","[c]"
"In post","2022","16-19","Economics","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Female","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Male","15","15","[c]","[c]"
"In post","2022","16-19","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","16-19","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Female","375","355","22070","21260"
"In post","2022","16-19","Operational Delivery","Male","290","270","21950","21260"
"In post","2022","16-19","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Female","45","45","21930","21260"
"In post","2022","16-19","Other","Male","60","60","19290","18030"
"In post","2022","16-19","Policy","Female","15","15","[c]","[c]"
"In post","2022","16-19","Policy","Male","30","30","[c]","[c]"
"In post","2022","16-19","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Property","Female","5","5","[c]","[c]"
"In post","2022","16-19","Property","Male","25","25","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Female","15","15","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Male","100","100","18400","17450"
"In post","2022","16-19","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Male","10","10","[c]","[c]"
"In post","2022","16-19","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Female","35","35","21720","21250"
"In post","2022","16-19","Tax","Male","30","30","[c]","[c]"
"In post","2022","16-19","Unknown","Female","50","50","23160","21260"
"In post","2022","16-19","Unknown","Male","50","50","22870","21260"
"In post","2022","16-19","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Female","585","580","32370","30600"
"In post","2022","20-29","Commercial","Male","470","470","32370","30590"
"In post","2022","20-29","Communications","Female","600","595","35020","33120"
"In post","2022","20-29","Communications","Male","295","295","35610","33210"
"In post","2022","20-29","Corporate Finance","Female","10","10","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Female","380","370","27500","27570"
"In post","2022","20-29","Counter Fraud","Male","265","265","27130","27570"
"In post","2022","20-29","Digital, Data and Technology","Female","1040","1035","34210","33000"
"In post","2022","20-29","Digital, Data and Technology","Male","1885","1880","33730","32790"
"In post","2022","20-29","Economics","Female","410","405","37870","34240"
"In post","2022","20-29","Economics","Male","760","760","38400","34710"
"In post","2022","20-29","Finance","Female","830","820","32650","30320"
"In post","2022","20-29","Finance","Male","780","775","33460","31010"
"In post","2022","20-29","Geography","Female","35","35","25090","26740"
"In post","2022","20-29","Geography","Male","75","75","25740","26740"
"In post","2022","20-29","Human Resources","Female","975","965","31770","30000"
"In post","2022","20-29","Human Resources","Male","370","370","31850","29520"
"In post","2022","20-29","Intelligence Analysis","Female","260","255","30280","28700"
"In post","2022","20-29","Intelligence Analysis","Male","240","240","32070","29250"
"In post","2022","20-29","Internal Audit","Female","30","30","34490","33930"
"In post","2022","20-29","Internal Audit","Male","20","20","[c]","[c]"
"In post","2022","20-29","International Trade","Female","260","255","38200","35560"
"In post","2022","20-29","International Trade","Male","255","250","38560","38160"
"In post","2022","20-29","Knowledge and Information Management","Female","165","165","31170","28250"
"In post","2022","20-29","Knowledge and Information Management","Male","125","125","30680","28280"
"In post","2022","20-29","Legal","Female","835","830","35480","33080"
"In post","2022","20-29","Legal","Male","505","505","34650","31020"
"In post","2022","20-29","Medicine","Female","105","100","32640","32310"
"In post","2022","20-29","Medicine","Male","35","35","34450","31370"
"In post","2022","20-29","Operational Delivery","Female","22915","22295","25880","24880"
"In post","2022","20-29","Operational Delivery","Male","15500","15360","25970","24920"
"In post","2022","20-29","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","Female","145","145","35590","34710"
"In post","2022","20-29","Operational Research","Male","175","175","35170","34320"
"In post","2022","20-29","Other","Female","1900","1860","26900","26350"
"In post","2022","20-29","Other","Male","1680","1675","27010","26030"
"In post","2022","20-29","Planning","Female","15","15","[c]","[c]"
"In post","2022","20-29","Planning","Male","20","20","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","Female","4920","4890","38470","35430"
"In post","2022","20-29","Policy","Male","3720","3705","39020","35700"
"In post","2022","20-29","Project Delivery","Female","1100","1090","34380","33200"
"In post","2022","20-29","Project Delivery","Male","935","930","34000","33000"
"In post","2022","20-29","Property","Female","390","385","30220","28630"
"In post","2022","20-29","Property","Male","455","450","30000","28500"
"In post","2022","20-29","Psychology","Female","370","370","27680","27700"
"In post","2022","20-29","Psychology","Male","25","25","[c]","[c]"
"In post","2022","20-29","Science and Engineering","Female","1050","1035","29760","29230"
"In post","2022","20-29","Science and Engineering","Male","1850","1850","29130","28680"
"In post","2022","20-29","Security","Female","325","325","28910","26750"
"In post","2022","20-29","Security","Male","795","795","27250","26350"
"In post","2022","20-29","Social Research","Female","410","410","35810","33710"
"In post","2022","20-29","Social Research","Male","145","145","35950","33710"
"In post","2022","20-29","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Statistics","Female","400","400","36040","33710"
"In post","2022","20-29","Statistics","Male","430","425","35330","33430"
"In post","2022","20-29","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Tax","Female","2045","1995","28630","26590"
"In post","2022","20-29","Tax","Male","2150","2125","29030","26820"
"In post","2022","20-29","Unknown","Female","4540","4490","32090","29250"
"In post","2022","20-29","Unknown","Male","3515","3500","32290","29250"
"In post","2022","20-29","Veterinarian","Female","10","10","[c]","[c]"
"In post","2022","20-29","Veterinarian","Male","10","5","[c]","[c]"
"In post","2022","30-39","Commercial","Female","855","800","37810","36500"
"In post","2022","30-39","Commercial","Male","680","675","40060","38240"
"In post","2022","30-39","Communications","Female","740","705","43660","40650"
"In post","2022","30-39","Communications","Male","450","450","44120","40960"
"In post","2022","30-39","Corporate Finance","Female","25","20","[c]","[c]"
"In post","2022","30-39","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2022","30-39","Counter Fraud","Female","540","490","28440","27570"
"In post","2022","30-39","Counter Fraud","Male","345","340","29990","27570"
"In post","2022","30-39","Digital, Data and Technology","Female","1690","1620","41220","38650"
"In post","2022","30-39","Digital, Data and Technology","Male","2960","2945","42140","39580"
"In post","2022","30-39","Economics","Female","205","190","56500","56130"
"In post","2022","30-39","Economics","Male","305","300","56670","55730"
"In post","2022","30-39","Finance","Female","1380","1290","39680","36330"
"In post","2022","30-39","Finance","Male","1090","1085","43330","40500"
"In post","2022","30-39","Geography","Female","40","40","32280","33290"
"In post","2022","30-39","Geography","Male","70","70","33020","33290"
"In post","2022","30-39","Human Resources","Female","1505","1410","37740","33370"
"In post","2022","30-39","Human Resources","Male","645","640","38510","35310"
"In post","2022","30-39","Inspector of Education and Training","Female","75","75","54410","51360"
"In post","2022","30-39","Inspector of Education and Training","Male","25","25","[c]","[c]"
"In post","2022","30-39","Intelligence Analysis","Female","410","385","32980","29740"
"In post","2022","30-39","Intelligence Analysis","Male","425","420","35230","33300"
"In post","2022","30-39","Internal Audit","Female","80","75","40640","39590"
"In post","2022","30-39","Internal Audit","Male","55","55","44330","41000"
"In post","2022","30-39","International Trade","Female","235","230","49450","51710"
"In post","2022","30-39","International Trade","Male","290","290","49820","51970"
"In post","2022","30-39","Knowledge and Information Management","Female","240","225","35220","31990"
"In post","2022","30-39","Knowledge and Information Management","Male","200","200","37090","33300"
"In post","2022","30-39","Legal","Female","1925","1815","47970","50500"
"In post","2022","30-39","Legal","Male","1205","1200","44830","43920"
"In post","2022","30-39","Medicine","Female","440","380","43260","39030"
"In post","2022","30-39","Medicine","Male","150","140","53510","44790"
"In post","2022","30-39","Operational Delivery","Female","28895","25920","28130","26900"
"In post","2022","30-39","Operational Delivery","Male","22755","22470","28920","27570"
"In post","2022","30-39","Operational Research","Female","120","115","45670","47010"
"In post","2022","30-39","Operational Research","Male","215","210","46920","47010"
"In post","2022","30-39","Other","Female","3000","2740","30970","27570"
"In post","2022","30-39","Other","Male","2350","2330","33300","29170"
"In post","2022","30-39","Planning","Female","30","30","41930","40720"
"In post","2022","30-39","Planning","Male","35","35","40280","39600"
"In post","2022","30-39","Planning Inspectors","Female","20","15","[c]","[c]"
"In post","2022","30-39","Planning Inspectors","Male","40","40","49660","47660"
"In post","2022","30-39","Policy","Female","5145","4920","48210","49860"
"In post","2022","30-39","Policy","Male","4375","4340","49050","51730"
"In post","2022","30-39","Project Delivery","Female","1930","1830","41230","39600"
"In post","2022","30-39","Project Delivery","Male","1715","1710","43140","40520"
"In post","2022","30-39","Property","Female","505","475","37110","33370"
"In post","2022","30-39","Property","Male","600","595","38230","35900"
"In post","2022","30-39","Psychology","Female","550","525","35050","31180"
"In post","2022","30-39","Psychology","Male","60","60","34250","31180"
"In post","2022","30-39","Science and Engineering","Female","1185","1125","37860","37970"
"In post","2022","30-39","Science and Engineering","Male","1810","1795","39610","38750"
"In post","2022","30-39","Security","Female","470","455","33470","31990"
"In post","2022","30-39","Security","Male","1275","1270","33330","32630"
"In post","2022","30-39","Social Research","Female","280","260","44250","41340"
"In post","2022","30-39","Social Research","Male","125","125","45710","42470"
"In post","2022","30-39","Statistics","Female","345","320","45350","43000"
"In post","2022","30-39","Statistics","Male","345","340","44300","40450"
"In post","2022","30-39","Statistics","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Tax","Female","2275","2130","33380","33080"
"In post","2022","30-39","Tax","Male","3075","3050","35790","33370"
"In post","2022","30-39","Unknown","Female","4610","4390","41370","37300"
"In post","2022","30-39","Unknown","Male","4000","3970","41310","36350"
"In post","2022","30-39","Veterinarian","Female","70","65","39190","37240"
"In post","2022","30-39","Veterinarian","Male","30","30","[c]","[c]"
"In post","2022","40-49","Commercial","Female","870","815","41750","39180"
"In post","2022","40-49","Commercial","Male","640","635","44150","40580"
"In post","2022","40-49","Communications","Female","635","580","47170","43850"
"In post","2022","40-49","Communications","Male","475","470","46650","42120"
"In post","2022","40-49","Corporate Finance","Female","20","20","[c]","[c]"
"In post","2022","40-49","Corporate Finance","Male","25","25","[c]","[c]"
"In post","2022","40-49","Counter Fraud","Female","880","775","28970","27570"
"In post","2022","40-49","Counter Fraud","Male","545","535","30930","27570"
"In post","2022","40-49","Digital, Data and Technology","Female","1940","1840","43550","40520"
"In post","2022","40-49","Digital, Data and Technology","Male","3555","3540","46340","42420"
"In post","2022","40-49","Economics","Female","95","85","64080","61400"
"In post","2022","40-49","Economics","Male","145","140","62960","61440"
"In post","2022","40-49","Finance","Female","1900","1785","40830","36780"
"In post","2022","40-49","Finance","Male","1300","1290","45290","40580"
"In post","2022","40-49","Geography","Female","40","35","31890","28960"
"In post","2022","40-49","Geography","Male","60","60","34940","33290"
"In post","2022","40-49","Human Resources","Female","1820","1695","41520","37610"
"In post","2022","40-49","Human Resources","Male","660","655","44110","39870"
"In post","2022","40-49","Inspector of Education and Training","Female","220","215","61530","51360"
"In post","2022","40-49","Inspector of Education and Training","Male","90","90","72960","75500"
"In post","2022","40-49","Intelligence Analysis","Female","375","345","33430","29520"
"In post","2022","40-49","Intelligence Analysis","Male","415","410","36660","32040"
"In post","2022","40-49","Internal Audit","Female","105","100","45900","43710"
"In post","2022","40-49","Internal Audit","Male","80","80","48520","45870"
"In post","2022","40-49","International Trade","Female","130","125","51220","51970"
"In post","2022","40-49","International Trade","Male","145","145","54420","53030"
"In post","2022","40-49","Knowledge and Information Management","Female","330","310","35780","33910"
"In post","2022","40-49","Knowledge and Information Management","Male","260","255","38980","35650"
"In post","2022","40-49","Legal","Female","2260","2005","52800","53050"
"In post","2022","40-49","Legal","Male","1360","1340","50200","50500"
"In post","2022","40-49","Medicine","Female","550","475","54560","45840"
"In post","2022","40-49","Medicine","Male","215","200","64560","61440"
"In post","2022","40-49","Operational Delivery","Female","34175","30075","29340","27570"
"In post","2022","40-49","Operational Delivery","Male","22835","22430","30920","27570"
"In post","2022","40-49","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Operational Research","Female","110","95","49190","47590"
"In post","2022","40-49","Operational Research","Male","135","130","50730","47660"
"In post","2022","40-49","Other","Female","3640","3340","31710","27570"
"In post","2022","40-49","Other","Male","2830","2795","35440","29670"
"In post","2022","40-49","Planning","Female","30","25","44340","38160"
"In post","2022","40-49","Planning","Male","25","25","[c]","[c]"
"In post","2022","40-49","Planning Inspectors","Female","40","35","53270","47660"
"In post","2022","40-49","Planning Inspectors","Male","70","70","53200","47660"
"In post","2022","40-49","Policy","Female","4045","3755","52350","52430"
"In post","2022","40-49","Policy","Male","3280","3245","54330","54080"
"In post","2022","40-49","Project Delivery","Female","2165","2035","44120","40520"
"In post","2022","40-49","Project Delivery","Male","1995","1980","48020","43810"
"In post","2022","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Female","770","715","38430","34260"
"In post","2022","40-49","Property","Male","915","910","41220","38200"
