"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","London","100","95","41440","40650"
"In post","2022","Declared disabled","Commercial","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Outside London","75","70","34780","31990"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Outside London","40","35","39160","38810"
"In post","2022","Declared disabled","Commercial","South West (England)","Outside London","165","160","39490","38150"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Outside London","30","30","32160","30940"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Outside London","75","70","36680","33170"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","East of England","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","London","130","125","42730","39670"
"In post","2022","Declared disabled","Communications","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","North West (England)","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","South East (England)","Outside London","35","35","35250","33150"
"In post","2022","Declared disabled","Communications","South West (England)","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Wales","Outside London","30","30","36100","33080"
"In post","2022","Declared disabled","Communications","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","East Midlands (England)","Outside London","50","45","27540","27570"
"In post","2022","Declared disabled","Counter Fraud","East of England","Outside London","60","55","28690","28100"
"In post","2022","Declared disabled","Counter Fraud","London","London","150","135","31360","31060"
"In post","2022","Declared disabled","Counter Fraud","North East (England)","Outside London","90","80","27270","27570"
"In post","2022","Declared disabled","Counter Fraud","North West (England)","Outside London","115","105","28780","27570"
"In post","2022","Declared disabled","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Scotland","Outside London","100","90","25800","27570"
"In post","2022","Declared disabled","Counter Fraud","South East (England)","Outside London","105","90","28970","28490"
"In post","2022","Declared disabled","Counter Fraud","South West (England)","Outside London","80","70","27000","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Wales","Outside London","75","65","27690","27570"
