"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","AO","40","35","21180","21250"
"In post","2022","16-19","Asian","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","EO","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","AO","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
