"Status","Year","Disability","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","London","35","30","45030","38020"
"In post","2022","Declared disabled","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","West Midlands (England)","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","London","60","55","33200","31880"
"In post","2022","Declared disabled","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","North West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","South East (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","West Midlands (England)","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","East of England","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","North West (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","South West (England)","[c]","[c]","[c]","[c]"
