"Status","Year","Function_of_post","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","50","45","37360","34970"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Outside London","Heterosexual / straight","55","55","36080","31070"
"In post","2022","Analysis","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Outside London","Unknown","65","60","33070","29750"
"In post","2022","Analysis","East Anglia","Outside London","Heterosexual / straight","125","115","33740","30220"
"In post","2022","Analysis","East Anglia","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","East Anglia","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","East Anglia","Outside London","Unknown","190","185","35460","30660"
"In post","2022","Analysis","East Wales","Outside London","Heterosexual / straight","835","800","37220","36840"
"In post","2022","Analysis","East Wales","Outside London","LGBO","95","95","36320","32160"
"In post","2022","Analysis","East Wales","Outside London","Undeclared","65","65","35790","31320"
