"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Anglia","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Wales","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","140","135","39470","38110"
"In post","2022","Declared disabled","Commercial","Greater Manchester","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inner London - East","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inner London - West","65","65","42980","40650"
"In post","2022","Declared disabled","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lancashire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
