"Status","Year","Disability","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","AA","Heterosexual / straight","105","100","20120","20480"
"In post","2022","Declared disabled","East Midlands (England)","AA","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","AA","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","AO","Heterosexual / straight","660","585","22500","21260"
"In post","2022","Declared disabled","East Midlands (England)","AO","LGBO","70","65","23510","21260"
"In post","2022","Declared disabled","East Midlands (England)","AO","Undeclared","85","75","22420","21260"
"In post","2022","Declared disabled","East Midlands (England)","AO","Unknown","65","55","22280","21260"
"In post","2022","Declared disabled","East Midlands (England)","EO","Heterosexual / straight","670","605","27240","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","LGBO","75","70","27220","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","Undeclared","110","100","27400","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","Unknown","55","50","27510","27570"
"In post","2022","Declared disabled","East Midlands (England)","G6","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G7","Heterosexual / straight","90","85","54310","55210"
"In post","2022","Declared disabled","East Midlands (England)","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","HEO","Heterosexual / straight","275","260","33180","33350"
"In post","2022","Declared disabled","East Midlands (England)","HEO","LGBO","40","40","32450","32520"
"In post","2022","Declared disabled","East Midlands (England)","HEO","Undeclared","40","40","33260","33370"
"In post","2022","Declared disabled","East Midlands (England)","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SEO","Heterosexual / straight","140","135","41970","40520"
"In post","2022","Declared disabled","East Midlands (England)","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SEO","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Heterosexual / straight","255","230","30370","28200"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","AA","Heterosexual / straight","110","100","20550","20310"
"In post","2022","Declared disabled","East of England","AA","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","AA","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","AO","Heterosexual / straight","485","430","24200","22330"
"In post","2022","Declared disabled","East of England","AO","LGBO","50","50","24330","21900"
"In post","2022","Declared disabled","East of England","AO","Undeclared","70","65","24140","21840"
"In post","2022","Declared disabled","East of England","AO","Unknown","50","40","22780","21510"
"In post","2022","Declared disabled","East of England","EO","Heterosexual / straight","760","690","28380","27570"
"In post","2022","Declared disabled","East of England","EO","LGBO","70","70","28230","27570"
"In post","2022","Declared disabled","East of England","EO","Undeclared","100","90","28830","27830"
"In post","2022","Declared disabled","East of England","EO","Unknown","65","55","28790","27770"
"In post","2022","Declared disabled","East of England","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","G6","Undeclared","[c]","[c]","[c]","[c]"
