"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","London","195","185","67500","60780"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Outside London","15","15","64930","57250"
"In post","2022","Analysis","Competition and Markets Authority","London","London","130","125","62170","56360"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","London","270","265","44180","37900"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","20","20","33660","32060"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Outside London","60","60","35570","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","London","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
