"Status","Year","Age","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","Female","15","15","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Female","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Other","Female","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Female","15","15","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Male","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Male","20","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Female","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Male","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Female","20","20","[c]","[c]"
