"Status","Year","Age","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Heterosexual / straight","345","330","22150","21260"
"In post","2022","16-19","Operational Delivery","LGBO","35","30","23230","21840"
"In post","2022","16-19","Operational Delivery","Undeclared","20","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","260","245","21730","21250"
"In post","2022","16-19","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Heterosexual / straight","55","55","22010","21260"
"In post","2022","16-19","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","45","45","18510","16720"
"In post","2022","16-19","Policy","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
