"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","Outside London","30","30","38240","37210"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","Outside London","20","20","40890","32010"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","Outside London","20","20","47660","40520"
"In post","2022","Analysis","East of England","Suffolk CC","Outside London","330","315","34570","30220"
"In post","2022","Analysis","London","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Camden and City of London","London","230","215","68370","65350"
"In post","2022","Analysis","London","Croydon","London","60","60","51370","46470"
"In post","2022","Analysis","London","Hackney and Newham","London","165","160","47020","43430"
"In post","2022","Analysis","London","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Tower Hamlets","London","725","700","51110","47720"
"In post","2022","Analysis","London","Westminster","London","2565","2500","47790","44880"
"In post","2022","Analysis","North East (England)","Darlington","Outside London","30","30","35240","30710"
"In post","2022","Analysis","North East (England)","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Tyneside","Outside London","150","145","40390","36320"
"In post","2022","Analysis","North West (England)","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","East Cumbria","Outside London","10","10","32600","33700"
"In post","2022","Analysis","North West (England)","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Greater Manchester South West","Outside London","25","25","37660","34180"
"In post","2022","Analysis","North West (England)","Liverpool","Outside London","100","95","41020","40180"
"In post","2022","Analysis","North West (England)","Manchester","Outside London","285","280","39440","34000"
"In post","2022","Analysis","North West (England)","Mid Lancashire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","North West (England)","Sefton","Outside London","25","25","43370","40520"
"In post","2022","Analysis","North West (England)","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Wirral","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","City of Edinburgh","Outside London","70","65","48340","45000"
"In post","2022","Analysis","Scotland","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Glasgow City","Outside London","70","70","40170","36000"
"In post","2022","Analysis","Scotland","South Ayrshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Berkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","Buckinghamshire","Outside London","10","10","35440","29850"
"In post","2022","Analysis","South East (England)","Central Hampshire","Outside London","400","385","41420","38960"
"In post","2022","Analysis","South East (England)","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Oxfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","Portsmouth","Outside London","20","20","33480","33000"
"In post","2022","Analysis","South East (England)","South Hampshire","Outside London","530","500","38020","36840"
"In post","2022","Analysis","South East (England)","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","South East (England)","West Sussex (South West)","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","75","70","38340","36000"
"In post","2022","Analysis","South West (England)","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Bristol, City of","Outside London","135","130","39430","36700"
"In post","2022","Analysis","South West (England)","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","South West (England)","Devon CC","Outside London","10","10","31210","29190"
"In post","2022","Analysis","South West (England)","Dorset","Outside London","125","120","34310","30220"
"In post","2022","Analysis","South West (England)","Plymouth","Outside London","15","15","34160","29360"
"In post","2022","Analysis","South West (England)","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Wiltshire","Outside London","130","125","38520","38070"
"In post","2022","Analysis","Unknown","Unknown","Unknown","15","15","45490","43280"
"In post","2022","Analysis","Wales","Cardiff and Vale of Glamorgan","Outside London","40","35","39370","36480"
"In post","2022","Analysis","Wales","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Wales","Flintshire and Wrexham","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Wales","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","Monmouthshire and Newport","Outside London","1255","1205","37160","36840"
"In post","2022","Analysis","Wales","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Birmingham","Outside London","55","50","42550","39000"
"In post","2022","Analysis","West Midlands (England)","Coventry","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Staffordshire CC","Outside London","20","20","33880","33000"
"In post","2022","Analysis","West Midlands (England)","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Wolverhampton","Outside London","15","10","35660","30190"
"In post","2022","Analysis","West Midlands (England)","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","Leeds","Outside London","255","245","40110","36820"
"In post","2022","Analysis","Yorkshire and The Humber","North Yorkshire CC","Outside London","10","10","28340","27330"
"In post","2022","Analysis","Yorkshire and The Humber","Sheffield","Outside London","210","195","45520","43410"
"In post","2022","Analysis","Yorkshire and The Humber","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","York","Outside London","15","15","39370","36590"
"In post","2022","Commercial","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Nottingham","Outside London","65","60","45650","39040"
"In post","2022","Commercial","East Midlands (England)","South and West Derbyshire","Outside London","30","25","44020","44500"
"In post","2022","Commercial","East Midlands (England)","South Nottinghamshire","Outside London","20","20","30550","25060"
