"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","London","190","175","68440","64660"
"In post","2022","Analysis","Chancellor's other departments","Other","Scotland","15","15","67630","57250"
"In post","2022","Analysis","Competition and Markets Authority","Economics","London","95","90","64300","59890"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","55030","54320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Wales","15","15","38340","36480"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","London","170","170","41510","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","North West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","London","15","15","47770","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Wales","20","20","29480","29070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","London","15","15","55780","57000"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","London","20","20","56220","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","London","30","30","47080","42360"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","North West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","South West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Wales","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","London","75","70","48560","53230"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","London","10","10","50800","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","London","20","20","47840","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","London","20","20","43550","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","London","30","30","49580","45250"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","North East (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","North West (England)","10","10","38550","37590"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","South West (England)","15","15","36370","36500"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","Yorkshire and The Humber","25","20","43580","42210"
"In post","2022","Analysis","Department for Education","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","London","40","35","48500","46840"
"In post","2022","Analysis","Department for Education","Policy","North East (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","North West (England)","15","15","38240","33000"
"In post","2022","Analysis","Department for Education","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","Yorkshire and The Humber","35","35","46660","48020"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","North East (England)","10","10","[c]","[c]"
