"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","AO","45","40","23580","23770"
"In post","2022","Declared disabled","Attorney General's Departments","London","EO","80","75","29240","29290"
"In post","2022","Declared disabled","Attorney General's Departments","London","G6","75","65","69540","67790"
"In post","2022","Declared disabled","Attorney General's Departments","London","G7","155","145","57700","54080"
"In post","2022","Declared disabled","Attorney General's Departments","London","HEO","45","45","35840","35020"
"In post","2022","Declared disabled","Attorney General's Departments","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","AO","140","125","22470","22200"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","EO","130","120","27680","28430"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","G7","245","220","55310","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","HEO","70","70","34580","34480"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","EO","80","75","27930","27500"
"In post","2022","Declared disabled","Cabinet Office","London","G6","65","65","66880","64510"
"In post","2022","Declared disabled","Cabinet Office","London","G7","160","155","55770","54700"
"In post","2022","Declared disabled","Cabinet Office","London","HEO","95","90","35020","34550"
"In post","2022","Declared disabled","Cabinet Office","London","SCS level","40","40","90870","76790"
"In post","2022","Declared disabled","Cabinet Office","London","SEO","65","65","40790","40600"
"In post","2022","Declared disabled","Cabinet Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","AO","55","50","21090","21050"
"In post","2022","Declared disabled","Cabinet Office","Outside London","EO","60","60","25510","25520"
"In post","2022","Declared disabled","Cabinet Office","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","G7","60","60","51010","49700"
"In post","2022","Declared disabled","Cabinet Office","Outside London","HEO","85","85","32770","32520"
"In post","2022","Declared disabled","Cabinet Office","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","SEO","75","70","38700","38890"
"In post","2022","Declared disabled","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
