"Status","Year","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","Female","580","565","44670","41500"
"In post","2022","Commercial","London","Male","520","510","48660","45020"
"In post","2022","Commercial","Outside London","Female","2805","2645","37240","35070"
"In post","2022","Commercial","Outside London","Male","2245","2210","39780","37380"
"In post","2022","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","30","30","52140","51040"
"In post","2022","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Female","1330","1280","46190","42710"
"In post","2022","Communications","London","Male","885","880","47510","42950"
"In post","2022","Communications","Outside London","Female","1150","1075","37770","36240"
"In post","2022","Communications","Outside London","Male","790","775","37180","34610"
"In post","2022","Communications","Overseas","Female","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Female","20","20","[c]","[c]"
"In post","2022","Corporate Finance","London","Male","35","35","62060","63040"
"In post","2022","Corporate Finance","Outside London","Female","60","55","41110","38260"
"In post","2022","Corporate Finance","Outside London","Male","30","30","50020","47010"
"In post","2022","Counter Fraud","London","Female","705","620","31860","31060"
"In post","2022","Counter Fraud","London","Male","550","535","37050","31880"
"In post","2022","Counter Fraud","Outside London","Female","3195","2785","27580","27570"
"In post","2022","Counter Fraud","Outside London","Male","2125","1985","28810","27570"
"In post","2022","Counter Fraud","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Female","1535","1495","47970","43880"
"In post","2022","Digital, Data and Technology","London","Male","2520","2500","50210","45830"
"In post","2022","Digital, Data and Technology","Outside London","Female","5450","5170","38960","36000"
"In post","2022","Digital, Data and Technology","Outside London","Male","10445","10280","40980","37930"
"In post","2022","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Male","35","35","33140","33300"
"In post","2022","Digital, Data and Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Economics","London","Female","605","580","48550","51500"
"In post","2022","Economics","London","Male","1045","1035","49450","51610"
"In post","2022","Economics","Outside London","Female","155","150","39640","36720"
"In post","2022","Economics","Outside London","Male","250","245","41040","35540"
"In post","2022","Economics","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Economics","Overseas","Male","20","20","[c]","[c]"
"In post","2022","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Female","1435","1380","47120","42470"
"In post","2022","Finance","London","Male","1475","1470","50730","46360"
"In post","2022","Finance","Outside London","Female","5390","5060","36410","33300"
"In post","2022","Finance","Outside London","Male","3910","3830","39740","35980"
"In post","2022","Finance","Overseas","Female","45","45","35420","33300"
"In post","2022","Finance","Overseas","Male","35","35","43250","40580"
"In post","2022","Finance","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Finance","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Geography","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","Female","170","160","30820","29290"
"In post","2022","Geography","Outside London","Male","310","300","31660","33290"
"In post","2022","Geography","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Female","1875","1805","46050","41750"
"In post","2022","Human Resources","London","Male","875","860","47190","42200"
"In post","2022","Human Resources","Outside London","Female","4875","4530","35600","32150"
"In post","2022","Human Resources","Outside London","Male","1925","1885","36680","33300"
"In post","2022","Human Resources","Overseas","Female","20","20","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","20","20","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Female","65","65","60890","51360"
"In post","2022","Inspector of Education and Training","London","Male","20","20","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","Female","610","590","62960","64500"
"In post","2022","Inspector of Education and Training","Outside London","Male","240","235","72730","75500"
"In post","2022","Intelligence Analysis","London","Female","510","475","36690","34320"
"In post","2022","Intelligence Analysis","London","Male","735","715","40500","37500"
"In post","2022","Intelligence Analysis","Outside London","Female","950","885","29470","27370"
"In post","2022","Intelligence Analysis","Outside London","Male","975","950","30900","28670"
"In post","2022","Intelligence Analysis","Overseas","Female","25","25","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","Male","45","45","44790","40580"
"In post","2022","Internal Audit","London","Female","95","90","51910","49230"
"In post","2022","Internal Audit","London","Male","120","120","52800","50370"
"In post","2022","Internal Audit","Outside London","Female","305","285","42280","40520"
"In post","2022","Internal Audit","Outside London","Male","250","240","45500","42630"
"In post","2022","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","London","Female","590","580","46860","42740"
"In post","2022","International Trade","London","Male","645","640","47920","44030"
"In post","2022","International Trade","Outside London","Female","115","110","40860","38160"
"In post","2022","International Trade","Outside London","Male","125","125","40590","34720"
"In post","2022","International Trade","Overseas","Female","45","45","55640","54560"
"In post","2022","International Trade","Overseas","Male","115","115","55850","53410"
"In post","2022","Knowledge and Information Management","London","Female","410","390","40580","36650"
"In post","2022","Knowledge and Information Management","London","Male","350","345","42430","37920"
"In post","2022","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Outside London","Female","895","840","31590","29230"
"In post","2022","Knowledge and Information Management","Outside London","Male","710","700","34300","31990"
"In post","2022","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","Female","2915","2680","55600","53050"
"In post","2022","Legal","London","Male","2000","1950","54640","53050"
"In post","2022","Legal","Outside London","Female","4535","4120","45250","46100"
"In post","2022","Legal","Outside London","Male","3215","3110","44260","41380"
"In post","2022","Legal","Overseas","Female","5","5","[c]","[c]"
"In post","2022","Legal","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Medicine","London","Female","250","225","73760","68920"
"In post","2022","Medicine","London","Male","125","115","78010","72430"
"In post","2022","Medicine","Outside London","Female","1445","1255","47710","39030"
"In post","2022","Medicine","Outside London","Male","595","545","63110","54280"
"In post","2022","Medicine","Overseas","Female","40","40","55790","53360"
"In post","2022","Medicine","Overseas","Male","20","20","[c]","[c]"
"In post","2022","Medicine","Unknown","Female","25","20","[c]","[c]"
"In post","2022","Medicine","Unknown","Male","10","10","[c]","[c]"
