"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","Female","60","60","39470","33710"
"In post","2022","Asian","Analysis","Economics","Male","85","85","44610","40000"
"In post","2022","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Female","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Female","30","30","38460","35630"
"In post","2022","Asian","Analysis","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Female","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Male","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Female","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Male","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Female","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Male","30","30","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","Female","35","35","40890","37810"
"In post","2022","Asian","Analysis","Social Research","Male","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","Female","80","75","44350","40520"
"In post","2022","Asian","Analysis","Statistics","Male","85","85","42300","40090"
