"Status","Year","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Heterosexual / straight","95","90","42580","38710"
"In post","2022","Commercial","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","East of England","Heterosexual / straight","145","140","38510","34800"
"In post","2022","Commercial","East of England","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","East of England","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","London","Heterosexual / straight","710","690","47210","42470"
"In post","2022","Commercial","London","LGBO","60","60","44370","41200"
"In post","2022","Commercial","London","Undeclared","160","155","47750","43260"
"In post","2022","Commercial","London","Unknown","175","170","43540","40390"
"In post","2022","Commercial","North East (England)","Heterosexual / straight","145","140","39180","36500"
"In post","2022","Commercial","North East (England)","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","North East (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","North East (England)","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","North West (England)","Heterosexual / straight","450","435","38130","36500"
"In post","2022","Commercial","North West (England)","LGBO","30","30","34280","31620"
"In post","2022","Commercial","North West (England)","Undeclared","40","35","35930","32400"
"In post","2022","Commercial","North West (England)","Unknown","110","105","34790","32040"
"In post","2022","Commercial","Northern Ireland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Heterosexual / straight","35","35","49380","42130"
"In post","2022","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Heterosexual / straight","185","185","36950","34500"
"In post","2022","Commercial","Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Scotland","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Scotland","Unknown","80","80","30740","26900"
"In post","2022","Commercial","South East (England)","Heterosexual / straight","360","345","37960","35600"
"In post","2022","Commercial","South East (England)","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","South East (England)","Undeclared","40","40","40660","41750"
"In post","2022","Commercial","South East (England)","Unknown","55","55","34520","33570"
"In post","2022","Commercial","South West (England)","Heterosexual / straight","1415","1355","39990","37610"
"In post","2022","Commercial","South West (England)","LGBO","55","55","35050","33000"
