"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Commercial","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Female","85","80","42440","41750"
"In post","2022","Analysis","Digital, Data and Technology","Male","80","80","46640","45250"
"In post","2022","Analysis","Economics","Female","480","460","45680","38340"
"In post","2022","Analysis","Economics","Male","890","880","47460","41950"
"In post","2022","Analysis","Finance","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Finance","Male","35","35","44590","38370"
"In post","2022","Analysis","Geography","Female","30","30","[c]","[c]"
"In post","2022","Analysis","Geography","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Human Resources","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Human Resources","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Female","45","45","35160","32940"
"In post","2022","Analysis","Intelligence Analysis","Male","65","60","43330","40000"
"In post","2022","Analysis","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Female","435","400","34540","30810"
"In post","2022","Analysis","Operational Delivery","Male","415","410","36130","32890"
"In post","2022","Analysis","Operational Research","Female","265","250","42780","38340"
"In post","2022","Analysis","Operational Research","Male","450","435","45680","47010"
"In post","2022","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Female","150","140","54690","52080"
"In post","2022","Analysis","Other","Male","230","225","58320","48770"
"In post","2022","Analysis","Policy","Female","300","275","49110","50630"
"In post","2022","Analysis","Policy","Male","270","270","49070","50400"
"In post","2022","Analysis","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Female","305","280","34790","30220"
"In post","2022","Analysis","Science and Engineering","Male","400","390","39640","37960"
"In post","2022","Analysis","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Female","760","715","41550","38340"
"In post","2022","Analysis","Social Research","Male","325","320","42490","38340"
"In post","2022","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Female","940","890","44140","40180"
"In post","2022","Analysis","Statistics","Male","1120","1100","43890","39840"
"In post","2022","Analysis","Statistics","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Tax","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Tax","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","65","65","42560","37610"
"In post","2022","Analysis","Unknown","Male","85","85","39700","37610"
"In post","2022","Commercial","Commercial","Female","2210","2105","38230","36500"
"In post","2022","Commercial","Commercial","Male","1860","1830","41030","38980"
"In post","2022","Commercial","Communications","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Finance","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Finance","Male","25","25","[c]","[c]"
