"Status","Year","Age","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","Undeclared","[c]","[c]","[c]","[c]"
