"Status","Year","Disability","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","Heterosexual / straight","35","35","41570","37610"
"In post","2022","Declared disabled","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Heterosexual / straight","30","30","34670","33370"
"In post","2022","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","105","95","29930","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Heterosexual / straight","50","40","23700","21260"
"In post","2022","Declared disabled","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Heterosexual / straight","75","75","39650","35010"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Heterosexual / straight","70","65","39910","36650"
"In post","2022","Declared disabled","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Heterosexual / straight","80","80","38350","36650"
"In post","2022","Declared disabled","Asian","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Heterosexual / straight","90","80","41890","40800"
"In post","2022","Declared disabled","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Heterosexual / straight","1510","1385","30490","27570"
"In post","2022","Declared disabled","Asian","No function","LGBO","65","65","31920","28310"
"In post","2022","Declared disabled","Asian","No function","Undeclared","125","110","28470","27570"
"In post","2022","Declared disabled","Asian","No function","Unknown","125","105","27720","27570"
"In post","2022","Declared disabled","Asian","Project Delivery","Heterosexual / straight","95","90","41830","37970"
"In post","2022","Declared disabled","Asian","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Heterosexual / straight","30","30","41150","30540"
"In post","2022","Declared disabled","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Heterosexual / straight","405","375","33340","29080"
"In post","2022","Declared disabled","Asian","Unknown","LGBO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Undeclared","35","35","31850","30660"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","Heterosexual / straight","75","65","30530","31020"
"In post","2022","Declared disabled","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Debt","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","Heterosexual / straight","50","45","38410","36720"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
