"Status","Year","Age","Disability","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
