"Status","Year","Profession_of_post","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","EO","25","20","27080","26850"
"In post","2022","Commercial","East Midlands (England)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","G7","25","25","56080","53360"
"In post","2022","Commercial","East Midlands (England)","Outside London","HEO","25","25","32120","31990"
"In post","2022","Commercial","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","SEO","40","40","41440","39850"
"In post","2022","Commercial","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","EO","20","20","27000","26670"
"In post","2022","Commercial","East of England","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","G7","15","15","54150","50460"
"In post","2022","Commercial","East of England","Outside London","HEO","65","65","32040","31580"
"In post","2022","Commercial","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","SEO","80","80","41120","40580"
"In post","2022","Commercial","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","London","AO","60","55","23530","23330"
"In post","2022","Commercial","London","London","EO","120","115","29050","28660"
"In post","2022","Commercial","London","London","G6","120","115","70330","68260"
"In post","2022","Commercial","London","London","G7","220","215","55970","54010"
"In post","2022","Commercial","London","London","HEO","210","205","35080","34710"
"In post","2022","Commercial","London","London","SCS level","55","50","84100","79350"
"In post","2022","Commercial","London","London","SEO","320","315","43430","42010"
"In post","2022","Commercial","London","London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","EO","25","25","26380","25400"
"In post","2022","Commercial","North East (England)","Outside London","G6","10","10","63500","61650"
"In post","2022","Commercial","North East (England)","Outside London","G7","20","20","50880","49860"
"In post","2022","Commercial","North East (England)","Outside London","HEO","50","50","31670","31920"
"In post","2022","Commercial","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","SEO","70","70","38850","36780"
"In post","2022","Commercial","North West (England)","Outside London","AO","35","30","21350","21260"
"In post","2022","Commercial","North West (England)","Outside London","EO","100","90","26480","26210"
"In post","2022","Commercial","North West (England)","Outside London","G6","25","25","66510","64500"
"In post","2022","Commercial","North West (England)","Outside London","G7","70","65","51650","50130"
"In post","2022","Commercial","North West (England)","Outside London","HEO","160","155","31500","30940"
"In post","2022","Commercial","North West (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Outside London","SEO","220","210","39730","39080"
"In post","2022","Commercial","North West (England)","Outside London","Unknown","20","20","41840","41020"
"In post","2022","Commercial","Northern Ireland","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","HEO","10","10","36720","34800"
"In post","2022","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","SEO","15","15","46590","46060"
"In post","2022","Commercial","Scotland","Outside London","AA","20","15","21640","21640"
"In post","2022","Commercial","Scotland","Outside London","AO","45","40","25450","26900"
"In post","2022","Commercial","Scotland","Outside London","EO","50","50","27790","26670"
"In post","2022","Commercial","Scotland","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","G7","25","25","52020","51960"
"In post","2022","Commercial","Scotland","Outside London","HEO","75","75","34680","33930"
"In post","2022","Commercial","Scotland","Outside London","SEO","60","60","42200","42080"
"In post","2022","Commercial","Scotland","Outside London","Unknown","10","10","37610","32710"
"In post","2022","Commercial","South East (England)","Outside London","AO","20","20","22420","22250"
"In post","2022","Commercial","South East (England)","Outside London","EO","95","95","26390","26350"
"In post","2022","Commercial","South East (England)","Outside London","G6","20","20","71250","69420"
"In post","2022","Commercial","South East (England)","Outside London","G7","35","35","56520","55320"
"In post","2022","Commercial","South East (England)","Outside London","HEO","130","125","33400","33430"
"In post","2022","Commercial","South East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Outside London","SEO","170","165","41870","42000"
"In post","2022","Commercial","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Outside London","AO","35","35","21220","21170"
"In post","2022","Commercial","South West (England)","Outside London","EO","245","230","24880","26000"
"In post","2022","Commercial","South West (England)","Outside London","G6","115","110","66970","67150"
"In post","2022","Commercial","South West (England)","Outside London","G7","265","255","51580","51280"
"In post","2022","Commercial","South West (England)","Outside London","HEO","495","475","31850","33000"
"In post","2022","Commercial","South West (England)","Outside London","SCS level","20","20","102930","101880"
"In post","2022","Commercial","South West (England)","Outside London","SEO","545","520","40270","40580"
"In post","2022","Commercial","South West (England)","Outside London","Unknown","140","135","40490","37450"
"In post","2022","Commercial","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","AA","10","10","18310","18310"
"In post","2022","Commercial","Wales","Outside London","AO","30","25","21650","21840"
"In post","2022","Commercial","Wales","Outside London","EO","70","70","26830","26460"
"In post","2022","Commercial","Wales","Outside London","G6","10","10","67430","64720"
"In post","2022","Commercial","Wales","Outside London","G7","40","40","52980","52010"
"In post","2022","Commercial","Wales","Outside London","HEO","120","115","31810","31250"
"In post","2022","Commercial","Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","SEO","80","80","40470","39600"
"In post","2022","Commercial","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","EO","55","55","26400","26350"
"In post","2022","Commercial","West Midlands (England)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","G7","35","35","53570","50630"
"In post","2022","Commercial","West Midlands (England)","Outside London","HEO","65","65","32110","31990"
"In post","2022","Commercial","West Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","SEO","100","95","41230","40360"
"In post","2022","Commercial","West Midlands (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","AO","50","45","21160","21260"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","EO","90","85","26170","25940"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","G6","50","45","64100","62400"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","G7","90","90","51770","50130"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","HEO","135","125","31270","30940"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","SCS level","15","15","80030","75680"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","SEO","200","195","38640","36820"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","EO","10","10","26470","26700"
"In post","2022","Communications","East Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","G7","20","20","53470","54830"
"In post","2022","Communications","East Midlands (England)","Outside London","HEO","30","25","32170","32180"
"In post","2022","Communications","East Midlands (England)","Outside London","SEO","30","30","40510","40520"
"In post","2022","Communications","East of England","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","AO","10","10","21340","21170"
"In post","2022","Communications","East of England","Outside London","EO","15","15","27470","26950"
"In post","2022","Communications","East of England","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","G7","10","10","53750","54160"
"In post","2022","Communications","East of England","Outside London","HEO","30","30","32860","33200"
"In post","2022","Communications","East of England","Outside London","SEO","10","10","40530","41210"
"In post","2022","Communications","London","London","AA","5","5","[c]","[c]"
"In post","2022","Communications","London","London","AO","60","55","24200","24250"
"In post","2022","Communications","London","London","EO","260","255","28630","28310"
"In post","2022","Communications","London","London","G6","220","215","68450","66270"
"In post","2022","Communications","London","London","G7","510","495","56110","55000"
"In post","2022","Communications","London","London","HEO","535","525","35830","35120"
"In post","2022","Communications","London","London","SCS level","95","90","90690","86070"
"In post","2022","Communications","London","London","SEO","520","510","43420","42890"
"In post","2022","Communications","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","EO","20","15","26580","26000"
"In post","2022","Communications","North East (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","HEO","35","30","31620","32300"
"In post","2022","Communications","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","SEO","30","30","40030","40300"
"In post","2022","Communications","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","Outside London","AO","15","15","21340","21250"
"In post","2022","Communications","North West (England)","Outside London","EO","35","30","26060","26000"
"In post","2022","Communications","North West (England)","Outside London","G6","15","15","63460","65390"
"In post","2022","Communications","North West (England)","Outside London","G7","30","30","50560","50630"
"In post","2022","Communications","North West (England)","Outside London","HEO","65","65","32070","31060"
"In post","2022","Communications","North West (England)","Outside London","SEO","75","70","38530","38980"
"In post","2022","Communications","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","SEO","15","15","39000","37910"
"In post","2022","Communications","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","EO","15","15","27550","27230"
"In post","2022","Communications","Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","HEO","30","30","34850","34540"
"In post","2022","Communications","Scotland","Outside London","SEO","20","20","41400","40520"
"In post","2022","Communications","South East (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","AO","30","30","21620","21750"
"In post","2022","Communications","South East (England)","Outside London","EO","70","70","27270","26670"
"In post","2022","Communications","South East (England)","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","G7","20","20","54040","53500"
"In post","2022","Communications","South East (England)","Outside London","HEO","90","85","33400","33300"
"In post","2022","Communications","South East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","SEO","60","60","41050","40580"
"In post","2022","Communications","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Outside London","AO","20","20","21350","21240"
"In post","2022","Communications","South West (England)","Outside London","EO","50","45","27390","26840"
"In post","2022","Communications","South West (England)","Outside London","G6","15","15","63800","64220"
"In post","2022","Communications","South West (England)","Outside London","G7","30","30","51510","50760"
