"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","40","40","23460","23770"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","35","30","28590","27760"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","80","75","59820","62120"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","20","15","38170","40000"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","30","25","23800","23770"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","55","50","60280","61290"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","20","20","36700","36240"
"In post","2022","Attorney General's Departments","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","G6/G7","15","15","62990","57400"
"In post","2022","Attorney General's Departments","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","15","10","53230","54480"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","AA/AO","15","10","22090","22200"
"In post","2022","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","G6/G7","15","15","54870","55610"
"In post","2022","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","70","65","21910","22200"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","70","65","26510","25820"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","125","120","53660","51470"
