"Status","Year","Age","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Male","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","Male","20","20","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Home Office","Female","[c]","[c]","[c]","[c]"
