"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","60","55","37430","37240"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","50","50","39630","40330"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","EO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","EO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","Female","30","30","37780","37720"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","EO","Female","15","10","[c]","[c]"
"In post","2022","Commercial","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","G6/G7","Female","55","55","51650","47960"
"In post","2022","Commercial","Devon","G6/G7","Male","55","55","52200","48420"
"In post","2022","Commercial","Devon","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","SEO/HEO","Female","60","55","36140","37420"
