"Status","Year","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","1945","1775","28390","26820"
"In post","2022","Asian","East of England","1180","1080","31410","27570"
"In post","2022","Asian","London","14800","14035","38230","33550"
"In post","2022","Asian","North East (England)","590","545","29740","26820"
"In post","2022","Asian","North West (England)","3235","3010","28970","26820"
"In post","2022","Asian","Northern Ireland","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","170","165","45170","38600"
"In post","2022","Asian","Scotland","730","690","32470","27570"
"In post","2022","Asian","South East (England)","1545","1420","30690","28350"
"In post","2022","Asian","South West (England)","900","855","34890","31990"
"In post","2022","Asian","Unknown","170","150","29660","29290"
"In post","2022","Asian","Wales","590","560","31250","27260"
"In post","2022","Asian","West Midlands (England)","4865","4555","28860","27570"
"In post","2022","Asian","Yorkshire and The Humber","2930","2715","29010","27570"
"In post","2022","Black","East Midlands (England)","610","575","28370","26820"
"In post","2022","Black","East of England","640","610","30990","29290"
"In post","2022","Black","London","10495","10140","35320","31650"
"In post","2022","Black","North East (England)","170","155","28820","26820"
"In post","2022","Black","North West (England)","940","900","29700","27570"
"In post","2022","Black","Northern Ireland","5","5","[c]","[c]"
"In post","2022","Black","Overseas","75","75","44130","38600"
"In post","2022","Black","Scotland","310","295","31430","27570"
"In post","2022","Black","South East (England)","920","875","30830","29290"
"In post","2022","Black","South West (England)","580","555","32870","31150"
"In post","2022","Black","Unknown","60","60","33750","31060"
"In post","2022","Black","Wales","235","225","30560","27570"
"In post","2022","Black","West Midlands (England)","1425","1345","29100","27570"
"In post","2022","Black","Yorkshire and The Humber","620","595","29700","27570"
"In post","2022","Mixed","East Midlands (England)","420","395","29960","26950"
"In post","2022","Mixed","East of England","445","420","31510","29260"
"In post","2022","Mixed","London","3595","3480","41700","36910"
"In post","2022","Mixed","North East (England)","260","245","29730","27570"
"In post","2022","Mixed","North West (England)","890","840","30230","27370"
"In post","2022","Mixed","Northern Ireland","25","20","[c]","[c]"
"In post","2022","Mixed","Overseas","115","115","49870","49030"
"In post","2022","Mixed","Scotland","315","305","35720","30360"
"In post","2022","Mixed","South East (England)","760","725","31950","29230"
"In post","2022","Mixed","South West (England)","670","630","33770","30210"
"In post","2022","Mixed","Unknown","30","30","34330","28240"
"In post","2022","Mixed","Wales","430","405","31690","27570"
"In post","2022","Mixed","West Midlands (England)","650","605","29800","27570"
"In post","2022","Mixed","Yorkshire and The Humber","560","530","31790","27570"
"In post","2022","Other ethnicity","East Midlands (England)","75","70","31410","27570"
"In post","2022","Other ethnicity","East of England","120","115","33040","29290"
"In post","2022","Other ethnicity","London","1305","1255","40770","35140"
"In post","2022","Other ethnicity","North East (England)","55","50","31010","26290"
"In post","2022","Other ethnicity","North West (England)","180","170","31830","27570"
"In post","2022","Other ethnicity","Northern Ireland","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","40","40","47330","43840"
"In post","2022","Other ethnicity","Scotland","110","105","33900","27570"
"In post","2022","Other ethnicity","South East (England)","185","180","31910","28000"
"In post","2022","Other ethnicity","South West (England)","160","155","35050","31490"
"In post","2022","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Wales","115","110","32380","29430"
"In post","2022","Other ethnicity","West Midlands (England)","165","155","30940","27210"
"In post","2022","Other ethnicity","Yorkshire and The Humber","125","115","32670","27570"
"In post","2022","Undeclared","East Midlands (England)","935","870","31560","27570"
"In post","2022","Undeclared","East of England","1065","985","31990","29480"
"In post","2022","Undeclared","London","4430","4220","42570","37660"
"In post","2022","Undeclared","North East (England)","1060","970","31180","27570"
"In post","2022","Undeclared","North West (England)","2230","2040","31630","27570"
"In post","2022","Undeclared","Northern Ireland","90","90","31390","27620"
"In post","2022","Undeclared","Overseas","240","235","47580","43020"
"In post","2022","Undeclared","Scotland","1580","1460","34030","30940"
"In post","2022","Undeclared","South East (England)","2175","2020","33910","31040"
"In post","2022","Undeclared","South West (England)","2350","2225","36900","34290"
"In post","2022","Undeclared","Unknown","40","40","32390","30850"
"In post","2022","Undeclared","Wales","1265","1175","33340","28150"
"In post","2022","Undeclared","West Midlands (England)","1280","1165","31180","27570"
"In post","2022","Undeclared","Yorkshire and The Humber","1460","1350","32000","27570"
"In post","2022","Unknown","East Midlands (England)","2865","2690","28700","26590"
"In post","2022","Unknown","East of England","2295","2155","29780","26670"
"In post","2022","Unknown","London","16775","16380","43190","37610"
"In post","2022","Unknown","North East (England)","4600","4255","28010","24920"
"In post","2022","Unknown","North West (England)","8550","8090","29130","26590"
"In post","2022","Unknown","Northern Ireland","810","775","27760","24880"
"In post","2022","Unknown","Overseas","520","515","49310","47170"
"In post","2022","Unknown","Scotland","10765","10130","31390","27230"
"In post","2022","Unknown","South East (England)","4570","4255","30850","27570"
"In post","2022","Unknown","South West (England)","4385","4160","32160","27570"
"In post","2022","Unknown","Unknown","2220","2205","37060","32700"
"In post","2022","Unknown","Wales","4515","4245","29420","26130"
"In post","2022","Unknown","West Midlands (England)","4165","3935","29950","26590"
"In post","2022","Unknown","Yorkshire and The Humber","5460","5205","31220","26820"
"In post","2022","White","East Midlands (England)","16155","14990","31150","27570"
"In post","2022","White","East of England","17190","15990","31480","28920"
"In post","2022","White","London","53420","51440","47660","42470"
"In post","2022","White","North East (England)","26370","23845","29970","27570"
"In post","2022","White","North West (England)","48275","44645","30820","27570"
"In post","2022","White","Northern Ireland","3310","3135","30020","26820"
"In post","2022","White","Overseas","2530","2520","50050","49810"
"In post","2022","White","Scotland","37205","34710","33950","28920"
