"Status","Year","Ethnicity","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Outside London","Heterosexual / straight","1570","1450","28600","26820"
"In post","2022","Asian","East Midlands (England)","Outside London","LGBO","35","35","26410","26820"
"In post","2022","Asian","East Midlands (England)","Outside London","Undeclared","95","85","27010","24890"
"In post","2022","Asian","East Midlands (England)","Outside London","Unknown","240","205","27840","26820"
"In post","2022","Asian","East of England","Outside London","Heterosexual / straight","980","900","31070","27570"
"In post","2022","Asian","East of England","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","East of England","Outside London","Undeclared","80","70","29120","25510"
"In post","2022","Asian","East of England","Outside London","Unknown","95","90","37180","30030"
"In post","2022","Asian","London","London","Heterosexual / straight","12355","11790","38360","33700"
"In post","2022","Asian","London","London","LGBO","345","330","39730","35050"
"In post","2022","Asian","London","London","Undeclared","910","840","35960","31670"
"In post","2022","Asian","London","London","Unknown","1185","1075","38130","31880"
"In post","2022","Asian","North East (England)","Outside London","Heterosexual / straight","490","460","29890","26820"
"In post","2022","Asian","North East (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","Undeclared","30","30","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","Unknown","50","40","28300","22080"
"In post","2022","Asian","North West (England)","Outside London","Heterosexual / straight","2680","2515","29270","27570"
"In post","2022","Asian","North West (England)","Outside London","LGBO","70","65","28220","26590"
"In post","2022","Asian","North West (England)","Outside London","Undeclared","160","140","27400","25440"
"In post","2022","Asian","North West (England)","Outside London","Unknown","330","290","27420","26290"
"In post","2022","Asian","Northern Ireland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","Heterosexual / straight","145","145","44240","38300"
"In post","2022","Asian","Overseas","Overseas","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Scotland","Outside London","Heterosexual / straight","615","580","32810","27570"
"In post","2022","Asian","Scotland","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Scotland","Outside London","Undeclared","30","30","29730","24970"
"In post","2022","Asian","Scotland","Outside London","Unknown","65","60","30530","26860"
"In post","2022","Asian","South East (England)","Outside London","Heterosexual / straight","1290","1200","30650","28350"
"In post","2022","Asian","South East (England)","Outside London","LGBO","35","30","29500","27570"
"In post","2022","Asian","South East (England)","Outside London","Undeclared","85","75","30840","28280"
"In post","2022","Asian","South East (England)","Outside London","Unknown","135","115","31280","29290"
"In post","2022","Asian","South West (England)","Outside London","Heterosexual / straight","755","720","34560","31990"
"In post","2022","Asian","South West (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","South West (England)","Outside London","Undeclared","45","45","35990","31460"
"In post","2022","Asian","South West (England)","Outside London","Unknown","70","65","37550","33350"
"In post","2022","Asian","Unknown","Unknown","Heterosexual / straight","125","110","30290","30330"
"In post","2022","Asian","Unknown","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","Heterosexual / straight","500","480","31370","27570"
"In post","2022","Asian","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","Unknown","45","40","32680","26820"
"In post","2022","Asian","West Midlands (England)","Outside London","Heterosexual / straight","4005","3785","29110","27570"
"In post","2022","Asian","West Midlands (England)","Outside London","LGBO","75","70","28030","26590"
"In post","2022","Asian","West Midlands (England)","Outside London","Undeclared","235","215","26510","26120"
"In post","2022","Asian","West Midlands (England)","Outside London","Unknown","545","480","28130","27570"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","Heterosexual / straight","2415","2265","29210","27570"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","LGBO","55","50","28000","27570"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","Undeclared","130","115","27890","25250"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","Unknown","330","285","28140","26820"
"In post","2022","Black","East Midlands (England)","Outside London","Heterosexual / straight","530","500","28330","26820"
"In post","2022","Black","East Midlands (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","Unknown","45","45","27870","27570"
"In post","2022","Black","East of England","Outside London","Heterosexual / straight","540","515","30610","29290"
"In post","2022","Black","East of England","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Black","East of England","Outside London","Undeclared","35","35","33840","31670"
"In post","2022","Black","East of England","Outside London","Unknown","45","40","33080","29290"
"In post","2022","Black","London","London","Heterosexual / straight","8835","8580","35460","31850"
"In post","2022","Black","London","London","LGBO","210","210","37930","31060"
"In post","2022","Black","London","London","Undeclared","530","500","34180","31060"
"In post","2022","Black","London","London","Unknown","920","850","33950","31060"
"In post","2022","Black","North East (England)","Outside London","Heterosexual / straight","150","140","28910","26820"
"In post","2022","Black","North East (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","North West (England)","Outside London","Heterosexual / straight","800","770","29750","27570"
"In post","2022","Black","North West (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Black","North West (England)","Outside London","Undeclared","45","40","31850","27570"
"In post","2022","Black","North West (England)","Outside London","Unknown","70","65","27780","26700"
"In post","2022","Black","Northern Ireland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Overseas","Heterosexual / straight","65","65","43910","38540"
