"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","AA","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","AA","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","HEO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","HEO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO","Female","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G7","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","AO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SEO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","Female","35","25","20840","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Female","175","160","24960","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Male","115","115","24890","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","G7","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","G7","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","Female","255","230","32890","31240"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","Male","145","140","32950","31140"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","Female","50","45","41640","40100"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","Male","55","50","42120","42920"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SEO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","HEO","Female","[c]","[c]","[c]","[c]"
