"Status","Year","Function_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","60","55","38880","36300"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","Heterosexual / straight","40","35","43790","41370"
"In post","2022","Analysis","Birmingham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Blackpool","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Blackpool","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","Heterosexual / straight","105","95","40430","39260"
"In post","2022","Analysis","Bristol, City of","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","London","Heterosexual / straight","145","135","72620","68330"
"In post","2022","Analysis","Camden and City of London","London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","London","Undeclared","25","20","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","London","Unknown","50","50","59410","51980"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","30","30","38520","36340"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Outside London","Heterosexual / straight","100","95","39410","38070"
"In post","2022","Analysis","Central Hampshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Outside London","Unknown","275","265","42420","47010"
"In post","2022","Analysis","Central Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
