"Status","Year","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Female","77540","66765","22260","21260"
"In post","2022","AA/AO","Male","59625","57030","23790","21680"
"In post","2022","EO","Female","74880","67600","27770","27570"
"In post","2022","EO","Male","56385","54400","28270","27570"
"In post","2022","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","33930","32215","58590","56280"
"In post","2022","G6/G7","Male","35510","34835","59600","57480"
"In post","2022","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","SCS level","Female","3405","3250","88210","80290"
"In post","2022","SCS level","Male","3815","3745","93030","84560"
"In post","2022","SEO/HEO","Female","72860","69105","36730","35900"
"In post","2022","SEO/HEO","Male","68660","67155","37650","36840"
"In post","2022","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","Female","15435","14240","30140","28200"
"In post","2022","Unknown","Male","8015","7730","34470","32090"
"Leaver CS","2022","AA/AO","Female","9340","[c]","21380","21260"
"Leaver CS","2022","AA/AO","Male","8065","[c]","22250","21260"
"Leaver CS","2022","EO","Female","5915","[c]","27590","27570"
"Leaver CS","2022","EO","Male","4675","[c]","27940","27570"
"Leaver CS","2022","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","2010","[c]","59330","56390"
"Leaver CS","2022","G6/G7","Male","2290","[c]","60820","59110"
"Leaver CS","2022","SCS level","Female","330","[c]","97630","93370"
"Leaver CS","2022","SCS level","Male","380","[c]","99180","94380"
"Leaver CS","2022","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Female","4335","[c]","37010","36460"
"Leaver CS","2022","SEO/HEO","Male","4545","[c]","37920","36960"
"Leaver CS","2022","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","1495","[c]","35500","31500"
"Leaver CS","2022","Unknown","Male","830","[c]","37100","33950"
"Leaver Dept.","2022","AA/AO","Female","2035","[c]","21460","21260"
"Leaver Dept.","2022","AA/AO","Male","1310","[c]","21550","21260"
"Leaver Dept.","2022","EO","Female","3225","[c]","27040","27570"
"Leaver Dept.","2022","EO","Male","2025","[c]","27100","27570"
"Leaver Dept.","2022","G6/G7","Female","2655","[c]","57610","54700"
"Leaver Dept.","2022","G6/G7","Male","2140","[c]","58510","55720"
"Leaver Dept.","2022","SCS level","Female","450","[c]","98070","95140"
"Leaver Dept.","2022","SCS level","Male","415","[c]","98760","95070"
"Leaver Dept.","2022","SEO/HEO","Female","5385","[c]","35650","35050"
"Leaver Dept.","2022","SEO/HEO","Male","3680","[c]","35970","35070"
"Leaver Dept.","2022","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","205","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","135","[c]","39240","36300"
"New entrant CS","2022","AA/AO","Female","13560","[c]","21850","21260"
"New entrant CS","2022","AA/AO","Male","10570","[c]","22270","21260"
"New entrant CS","2022","EO","Female","8945","[c]","27120","27270"
"New entrant CS","2022","EO","Male","7275","[c]","27120","27230"
"New entrant CS","2022","G6/G7","Female","2275","[c]","56040","53380"
"New entrant CS","2022","G6/G7","Male","2285","[c]","57520","54700"
"New entrant CS","2022","SCS level","Female","170","[c]","92780","85000"
"New entrant CS","2022","SCS level","Male","200","[c]","101780","90000"
"New entrant CS","2022","SEO/HEO","Female","7885","[c]","34880","33380"
"New entrant CS","2022","SEO/HEO","Male","6975","[c]","35110","33370"
"New entrant CS","2022","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","6580","[c]","28020","24900"
"New entrant CS","2022","Unknown","Male","2675","[c]","30010","27980"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
