"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Anglia","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East Wales","45","45","34690","31700"
"In post","2022","Asian","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester","40","35","36180","33370"
"In post","2022","Asian","Analysis","Hampshire and Isle of Wight","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Inner London - East","120","120","46100","42860"
"In post","2022","Asian","Analysis","Inner London - West","315","310","45570","41340"
"In post","2022","Asian","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - South","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Yorkshire","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - East","30","25","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - West","125","125","47970","40650"
"In post","2022","Asian","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outer London - West and North West","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","South Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Derbyshire and Nottinghamshire","90","90","28850","26820"
"In post","2022","Asian","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Wales","35","35","27700","26820"
"In post","2022","Asian","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Greater Manchester","100","100","29630","26820"
"In post","2022","Asian","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
