"Status","Year","Disability","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","Female","70","65","43140","42860"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","Female","50","45","43410","39010"
"In post","2022","Declared disabled","Asian","Cabinet Office","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Female","50","45","40510","37490"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Male","35","35","41490","36630"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
