"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","AO","40","40","23460","23770"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","35","30","28590","27760"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","80","70","59190","61430"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","15","15","37520","38120"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AO","25","25","23860","23770"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G7","50","45","58450","55880"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","HEO","20","20","35910","35020"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","G7","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AO","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G7","15","10","53230","54480"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","AO","10","10","22340","22200"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","G7","15","15","54110","54200"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","West Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","West Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","AO","70","65","21910","22200"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","EO","70","65","26490","25650"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","G7","110","100","52750","51010"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","HEO","35","35","33730","32680"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","Devon CC","AO","15","15","22190","22200"
"In post","2022","Attorney General's Departments","Devon","Devon CC","EO","25","25","26710","26090"
