"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AO","Female","135","115","22890","23770"
"In post","2022","Asian","Attorney General's Departments","AO","Male","50","50","23170","23770"
"In post","2022","Asian","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Female","150","140","27810","27350"
"In post","2022","Asian","Attorney General's Departments","EO","Male","50","50","27940","27440"
"In post","2022","Asian","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6","Female","65","60","66820","65640"
"In post","2022","Asian","Attorney General's Departments","G6","Male","30","30","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G7","Female","290","265","54270","53050"
"In post","2022","Asian","Attorney General's Departments","G7","Male","130","125","54740","53050"
"In post","2022","Asian","Attorney General's Departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","HEO","Female","65","60","36100","36200"
"In post","2022","Asian","Attorney General's Departments","HEO","Male","40","40","34750","33160"
"In post","2022","Asian","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Female","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Female","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","Female","60","60","27060","27500"
"In post","2022","Asian","Cabinet Office","EO","Male","30","30","27400","27500"
"In post","2022","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6","Female","30","30","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6","Male","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G7","Female","80","80","55870","54700"
"In post","2022","Asian","Cabinet Office","G7","Male","80","80","55370","54700"
"In post","2022","Asian","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","HEO","Female","70","70","34170","34550"
"In post","2022","Asian","Cabinet Office","HEO","Male","55","55","34240","34550"
"In post","2022","Asian","Cabinet Office","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SEO","Female","55","55","40640","40600"
"In post","2022","Asian","Cabinet Office","SEO","Male","45","45","40820","40600"
"In post","2022","Asian","Cabinet Office","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6","Female","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G7","Female","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G7","Male","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","HEO","Female","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","HEO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AO","Female","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Female","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6","Female","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6","Male","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G7","Female","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G7","Male","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","HEO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","HEO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO","Female","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AA","Female","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AA","Male","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AO","Female","60","50","22340","21130"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AO","Male","35","35","21710","21130"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","EO","Female","70","65","27490","27680"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","EO","Male","65","65","27270","27680"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G6","Female","25","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G6","Male","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G7","Female","95","95","54250","53380"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G7","Male","85","85","55470","53600"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","HEO","Female","140","135","34010","33570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","HEO","Male","105","105","34000","33570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SEO","Female","120","120","40950","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SEO","Male","105","105","41970","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","AO","Male","[c]","[c]","[c]","[c]"
