"Status","Year","Function_of_post","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Heterosexual / straight","150","140","70440","65470"
"In post","2022","Analysis","Chancellor's other departments","London","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Heterosexual / straight","100","95","62330","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
